Time (UTC),Plays
4/22/2019 00:00:00,11
4/23/2019 00:00:00,375
4/24/2019 00:00:00,96
4/25/2019 00:00:00,50
4/26/2019 00:00:00,42
4/27/2019 00:00:00,40
4/28/2019 00:00:00,29
4/29/2019 00:00:00,42
4/30/2019 00:00:00,42
5/1/2019 00:00:00,25
5/2/2019 00:00:00,22
5/3/2019 00:00:00,18
5/4/2019 00:00:00,14
5/5/2019 00:00:00,20
5/6/2019 00:00:00,17
5/7/2019 00:00:00,22
5/8/2019 00:00:00,20
5/9/2019 00:00:00,20
5/10/2019 00:00:00,10
5/11/2019 00:00:00,16
5/12/2019 00:00:00,11
5/13/2019 00:00:00,12
5/14/2019 00:00:00,15
5/15/2019 00:00:00,16
5/16/2019 00:00:00,11
5/17/2019 00:00:00,7
5/18/2019 00:00:00,12
5/19/2019 00:00:00,3
5/20/2019 00:00:00,5
5/21/2019 00:00:00,9
5/22/2019 00:00:00,3
5/23/2019 00:00:00,10
5/24/2019 00:00:00,2
5/25/2019 00:00:00,8
5/26/2019 00:00:00,12
5/27/2019 00:00:00,12
5/28/2019 00:00:00,13
5/29/2019 00:00:00,15
5/30/2019 00:00:00,21
5/31/2019 00:00:00,6
6/1/2019 00:00:00,14
6/2/2019 00:00:00,5
6/3/2019 00:00:00,8
6/4/2019 00:00:00,11
6/5/2019 00:00:00,12
6/6/2019 00:00:00,17
6/7/2019 00:00:00,16
6/8/2019 00:00:00,7
6/9/2019 00:00:00,7
6/10/2019 00:00:00,10
6/11/2019 00:00:00,10
6/12/2019 00:00:00,14
6/13/2019 00:00:00,13
6/14/2019 00:00:00,14
6/15/2019 00:00:00,2
6/16/2019 00:00:00,7
6/17/2019 00:00:00,10
6/18/2019 00:00:00,5
6/19/2019 00:00:00,7
6/20/2019 00:00:00,5
6/21/2019 00:00:00,8
6/22/2019 00:00:00,3
6/23/2019 00:00:00,4
6/24/2019 00:00:00,11
6/25/2019 00:00:00,18
6/26/2019 00:00:00,4
6/27/2019 00:00:00,3
6/28/2019 00:00:00,8
6/29/2019 00:00:00,11
6/30/2019 00:00:00,12
7/1/2019 00:00:00,8
7/2/2019 00:00:00,9
7/3/2019 00:00:00,13
7/4/2019 00:00:00,15
7/5/2019 00:00:00,16
7/6/2019 00:00:00,1
7/7/2019 00:00:00,8
7/8/2019 00:00:00,5
7/9/2019 00:00:00,10
7/10/2019 00:00:00,16
7/11/2019 00:00:00,3
7/12/2019 00:00:00,6
7/13/2019 00:00:00,4
7/14/2019 00:00:00,3
7/15/2019 00:00:00,6
7/16/2019 00:00:00,5
7/17/2019 00:00:00,4
7/18/2019 00:00:00,13
7/19/2019 00:00:00,13
7/20/2019 00:00:00,2
7/21/2019 00:00:00,3
7/22/2019 00:00:00,5
7/23/2019 00:00:00,7
7/24/2019 00:00:00,8
7/25/2019 00:00:00,7
7/26/2019 00:00:00,8
7/27/2019 00:00:00,3
7/28/2019 00:00:00,4
7/29/2019 00:00:00,9
7/30/2019 00:00:00,5
7/31/2019 00:00:00,11
8/1/2019 00:00:00,15
8/2/2019 00:00:00,15
8/3/2019 00:00:00,8
8/4/2019 00:00:00,2
8/5/2019 00:00:00,14
8/6/2019 00:00:00,15
8/7/2019 00:00:00,3
8/8/2019 00:00:00,10
8/9/2019 00:00:00,11
8/10/2019 00:00:00,5
8/11/2019 00:00:00,3
8/12/2019 00:00:00,14
8/13/2019 00:00:00,10
8/14/2019 00:00:00,3
8/15/2019 00:00:00,4
8/16/2019 00:00:00,14
8/17/2019 00:00:00,4
8/18/2019 00:00:00,6
8/19/2019 00:00:00,11
8/20/2019 00:00:00,5
8/21/2019 00:00:00,8
8/22/2019 00:00:00,12
8/23/2019 00:00:00,12
8/24/2019 00:00:00,10
8/25/2019 00:00:00,5
8/26/2019 00:00:00,13
8/27/2019 00:00:00,5
8/28/2019 00:00:00,12
8/29/2019 00:00:00,19
8/30/2019 00:00:00,10
8/31/2019 00:00:00,7
9/1/2019 00:00:00,6
9/2/2019 00:00:00,10
9/3/2019 00:00:00,8
9/4/2019 00:00:00,8
9/5/2019 00:00:00,8
9/6/2019 00:00:00,10
9/7/2019 00:00:00,3
9/8/2019 00:00:00,4
9/9/2019 00:00:00,9
