Time (UTC),Plays
12/28/2018 00:00:00,3
12/29/2018 00:00:00,1
12/30/2018 00:00:00,1
12/31/2018 00:00:00,1
1/1/2019 00:00:00,0
1/2/2019 00:00:00,3
1/3/2019 00:00:00,0
1/4/2019 00:00:00,0
1/5/2019 00:00:00,3
1/6/2019 00:00:00,6
1/7/2019 00:00:00,145
1/8/2019 00:00:00,164
1/9/2019 00:00:00,62
1/10/2019 00:00:00,365
1/11/2019 00:00:00,44
1/12/2019 00:00:00,11
1/13/2019 00:00:00,23
1/14/2019 00:00:00,38
1/15/2019 00:00:00,48
1/16/2019 00:00:00,23
1/17/2019 00:00:00,28
1/18/2019 00:00:00,14
1/19/2019 00:00:00,15
1/20/2019 00:00:00,9
1/21/2019 00:00:00,17
1/22/2019 00:00:00,14
1/23/2019 00:00:00,16
1/24/2019 00:00:00,7
1/25/2019 00:00:00,14
1/26/2019 00:00:00,4
1/27/2019 00:00:00,14
1/28/2019 00:00:00,18
1/29/2019 00:00:00,27
1/30/2019 00:00:00,12
1/31/2019 00:00:00,14
2/1/2019 00:00:00,11
2/2/2019 00:00:00,5
2/3/2019 00:00:00,3
2/4/2019 00:00:00,11
2/5/2019 00:00:00,8
2/6/2019 00:00:00,7
2/7/2019 00:00:00,7
2/8/2019 00:00:00,14
2/9/2019 00:00:00,15
2/10/2019 00:00:00,18
2/11/2019 00:00:00,15
2/12/2019 00:00:00,11
2/13/2019 00:00:00,19
2/14/2019 00:00:00,22
2/15/2019 00:00:00,22
2/16/2019 00:00:00,17
2/17/2019 00:00:00,14
2/18/2019 00:00:00,21
2/19/2019 00:00:00,26
2/20/2019 00:00:00,26
2/21/2019 00:00:00,26
2/22/2019 00:00:00,23
2/23/2019 00:00:00,13
2/24/2019 00:00:00,7
2/25/2019 00:00:00,10
2/26/2019 00:00:00,27
2/27/2019 00:00:00,8
2/28/2019 00:00:00,10
3/1/2019 00:00:00,16
3/2/2019 00:00:00,18
3/3/2019 00:00:00,16
3/4/2019 00:00:00,13
3/5/2019 00:00:00,22
3/6/2019 00:00:00,30
3/7/2019 00:00:00,17
3/8/2019 00:00:00,17
3/9/2019 00:00:00,7
3/10/2019 00:00:00,13
3/11/2019 00:00:00,14
3/12/2019 00:00:00,18
3/13/2019 00:00:00,20
3/14/2019 00:00:00,20
3/15/2019 00:00:00,24
3/16/2019 00:00:00,15
3/17/2019 00:00:00,12
3/18/2019 00:00:00,16
3/19/2019 00:00:00,13
3/20/2019 00:00:00,13
3/21/2019 00:00:00,19
3/22/2019 00:00:00,13
3/23/2019 00:00:00,13
3/24/2019 00:00:00,4
3/25/2019 00:00:00,22
3/26/2019 00:00:00,21
3/27/2019 00:00:00,23
3/28/2019 00:00:00,26
3/29/2019 00:00:00,20
3/30/2019 00:00:00,13
3/31/2019 00:00:00,14
4/1/2019 00:00:00,28
4/2/2019 00:00:00,25
4/3/2019 00:00:00,18
4/4/2019 00:00:00,12
4/5/2019 00:00:00,12
4/6/2019 00:00:00,8
4/7/2019 00:00:00,11
4/8/2019 00:00:00,17
4/9/2019 00:00:00,32
4/10/2019 00:00:00,24
4/11/2019 00:00:00,18
4/12/2019 00:00:00,20
4/13/2019 00:00:00,16
4/14/2019 00:00:00,9
4/15/2019 00:00:00,24
4/16/2019 00:00:00,16
4/17/2019 00:00:00,30
4/18/2019 00:00:00,8
4/19/2019 00:00:00,12
4/20/2019 00:00:00,10
4/21/2019 00:00:00,6
4/22/2019 00:00:00,29
4/23/2019 00:00:00,30
4/24/2019 00:00:00,18
4/25/2019 00:00:00,26
4/26/2019 00:00:00,18
4/27/2019 00:00:00,15
4/28/2019 00:00:00,17
4/29/2019 00:00:00,22
4/30/2019 00:00:00,18
5/1/2019 00:00:00,16
5/2/2019 00:00:00,18
5/3/2019 00:00:00,16
5/4/2019 00:00:00,10
5/5/2019 00:00:00,15
5/6/2019 00:00:00,17
5/7/2019 00:00:00,8
5/8/2019 00:00:00,15
5/9/2019 00:00:00,23
5/10/2019 00:00:00,18
5/11/2019 00:00:00,9
5/12/2019 00:00:00,12
5/13/2019 00:00:00,10
5/14/2019 00:00:00,19
5/15/2019 00:00:00,21
5/16/2019 00:00:00,11
5/17/2019 00:00:00,14
5/18/2019 00:00:00,9
5/19/2019 00:00:00,15
5/20/2019 00:00:00,12
5/21/2019 00:00:00,15
5/22/2019 00:00:00,17
5/23/2019 00:00:00,11
5/24/2019 00:00:00,13
5/25/2019 00:00:00,18
5/26/2019 00:00:00,57
5/27/2019 00:00:00,90
5/28/2019 00:00:00,83
5/29/2019 00:00:00,82
5/30/2019 00:00:00,68
5/31/2019 00:00:00,51
6/1/2019 00:00:00,25
6/2/2019 00:00:00,27
6/3/2019 00:00:00,29
6/4/2019 00:00:00,38
6/5/2019 00:00:00,48
6/6/2019 00:00:00,53
6/7/2019 00:00:00,51
6/8/2019 00:00:00,19
6/9/2019 00:00:00,14
6/10/2019 00:00:00,27
6/11/2019 00:00:00,28
6/12/2019 00:00:00,23
6/13/2019 00:00:00,31
6/14/2019 00:00:00,28
6/15/2019 00:00:00,30
6/16/2019 00:00:00,16
6/17/2019 00:00:00,27
6/18/2019 00:00:00,27
6/19/2019 00:00:00,28
6/20/2019 00:00:00,9
6/21/2019 00:00:00,28
6/22/2019 00:00:00,23
6/23/2019 00:00:00,13
6/24/2019 00:00:00,20
6/25/2019 00:00:00,21
6/26/2019 00:00:00,31
6/27/2019 00:00:00,24
6/28/2019 00:00:00,28
6/29/2019 00:00:00,18
6/30/2019 00:00:00,9
7/1/2019 00:00:00,14
7/2/2019 00:00:00,16
7/3/2019 00:00:00,24
7/4/2019 00:00:00,22
7/5/2019 00:00:00,25
7/6/2019 00:00:00,14
7/7/2019 00:00:00,15
7/8/2019 00:00:00,25
7/9/2019 00:00:00,20
7/10/2019 00:00:00,24
7/11/2019 00:00:00,21
7/12/2019 00:00:00,18
7/13/2019 00:00:00,6
7/14/2019 00:00:00,17
7/15/2019 00:00:00,21
7/16/2019 00:00:00,22
7/17/2019 00:00:00,28
7/18/2019 00:00:00,12
7/19/2019 00:00:00,13
7/20/2019 00:00:00,9
7/21/2019 00:00:00,13
7/22/2019 00:00:00,23
7/23/2019 00:00:00,22
7/24/2019 00:00:00,32
7/25/2019 00:00:00,35
7/26/2019 00:00:00,21
7/27/2019 00:00:00,28
7/28/2019 00:00:00,16
7/29/2019 00:00:00,24
7/30/2019 00:00:00,33
7/31/2019 00:00:00,33
8/1/2019 00:00:00,23
8/2/2019 00:00:00,35
8/3/2019 00:00:00,21
