Time (UTC),Plays
12/16/2019 00:00:00,1
12/17/2019 00:00:00,549
12/18/2019 00:00:00,271
12/19/2019 00:00:00,163
12/20/2019 00:00:00,102
12/21/2019 00:00:00,61
12/22/2019 00:00:00,56
12/23/2019 00:00:00,80
12/24/2019 00:00:00,61
12/25/2019 00:00:00,36
12/26/2019 00:00:00,45
12/27/2019 00:00:00,57
12/28/2019 00:00:00,35
12/29/2019 00:00:00,28
12/30/2019 00:00:00,49
12/31/2019 00:00:00,36
1/1/2020 00:00:00,14
1/2/2020 00:00:00,47
1/3/2020 00:00:00,37
1/4/2020 00:00:00,20
1/5/2020 00:00:00,17
1/6/2020 00:00:00,42
1/7/2020 00:00:00,45
1/8/2020 00:00:00,24
1/9/2020 00:00:00,32
1/10/2020 00:00:00,31
1/11/2020 00:00:00,23
1/12/2020 00:00:00,33
1/13/2020 00:00:00,26
1/14/2020 00:00:00,29
1/15/2020 00:00:00,26
1/16/2020 00:00:00,23
1/17/2020 00:00:00,37
1/18/2020 00:00:00,22
1/19/2020 00:00:00,23
1/20/2020 00:00:00,22
1/21/2020 00:00:00,19
1/22/2020 00:00:00,26
1/23/2020 00:00:00,39
1/24/2020 00:00:00,26
1/25/2020 00:00:00,17
1/26/2020 00:00:00,17
1/27/2020 00:00:00,22
1/28/2020 00:00:00,29
1/29/2020 00:00:00,15
1/30/2020 00:00:00,25
1/31/2020 00:00:00,27
2/1/2020 00:00:00,7
2/2/2020 00:00:00,9
2/3/2020 00:00:00,20
2/4/2020 00:00:00,22
2/5/2020 00:00:00,32
2/6/2020 00:00:00,26
2/7/2020 00:00:00,29
2/8/2020 00:00:00,15
2/9/2020 00:00:00,15
2/10/2020 00:00:00,21
2/11/2020 00:00:00,24
2/12/2020 00:00:00,19
2/13/2020 00:00:00,14
2/14/2020 00:00:00,20
2/15/2020 00:00:00,15
2/16/2020 00:00:00,13
2/17/2020 00:00:00,14
2/18/2020 00:00:00,27
2/19/2020 00:00:00,27
2/20/2020 00:00:00,20
2/21/2020 00:00:00,23
2/22/2020 00:00:00,9
2/23/2020 00:00:00,12
2/24/2020 00:00:00,12
2/25/2020 00:00:00,20
2/26/2020 00:00:00,14
2/27/2020 00:00:00,28
2/28/2020 00:00:00,30
2/29/2020 00:00:00,9
3/1/2020 00:00:00,11
3/2/2020 00:00:00,16
3/3/2020 00:00:00,16
3/4/2020 00:00:00,27
3/5/2020 00:00:00,25
3/6/2020 00:00:00,23
3/7/2020 00:00:00,12
3/8/2020 00:00:00,23
3/9/2020 00:00:00,8
3/10/2020 00:00:00,7
3/11/2020 00:00:00,9
3/12/2020 00:00:00,8
3/13/2020 00:00:00,14
3/14/2020 00:00:00,11
3/15/2020 00:00:00,7
3/16/2020 00:00:00,10
3/17/2020 00:00:00,12
3/18/2020 00:00:00,4
3/19/2020 00:00:00,8
3/20/2020 00:00:00,4
3/21/2020 00:00:00,7
3/22/2020 00:00:00,4
3/23/2020 00:00:00,4
3/24/2020 00:00:00,3
3/25/2020 00:00:00,12
3/26/2020 00:00:00,3
3/27/2020 00:00:00,2
3/28/2020 00:00:00,3
3/29/2020 00:00:00,11
3/30/2020 00:00:00,13
3/31/2020 00:00:00,11
4/1/2020 00:00:00,6
4/2/2020 00:00:00,8
4/3/2020 00:00:00,5
4/4/2020 00:00:00,6
4/5/2020 00:00:00,10
4/6/2020 00:00:00,6
4/7/2020 00:00:00,5
4/8/2020 00:00:00,7
4/9/2020 00:00:00,10
4/10/2020 00:00:00,6
4/11/2020 00:00:00,6
4/12/2020 00:00:00,6
4/13/2020 00:00:00,9
4/14/2020 00:00:00,10
4/15/2020 00:00:00,8
4/16/2020 00:00:00,7
4/17/2020 00:00:00,4
4/18/2020 00:00:00,2
4/19/2020 00:00:00,5
4/20/2020 00:00:00,3
4/21/2020 00:00:00,8
4/22/2020 00:00:00,2
4/23/2020 00:00:00,4
4/24/2020 00:00:00,6
4/25/2020 00:00:00,3
4/26/2020 00:00:00,4
4/27/2020 00:00:00,7
4/28/2020 00:00:00,9
4/29/2020 00:00:00,10
4/30/2020 00:00:00,10
5/1/2020 00:00:00,6
5/2/2020 00:00:00,6
5/3/2020 00:00:00,4
5/4/2020 00:00:00,10
5/5/2020 00:00:00,6
5/6/2020 00:00:00,6
5/7/2020 00:00:00,7
5/8/2020 00:00:00,3
5/9/2020 00:00:00,1
5/10/2020 00:00:00,4
5/11/2020 00:00:00,2
5/12/2020 00:00:00,9
5/13/2020 00:00:00,6
5/14/2020 00:00:00,2
5/15/2020 00:00:00,2
