Time (UTC),Plays
7/10/2019 00:00:00,1
7/11/2019 00:00:00,0
7/12/2019 00:00:00,0
7/13/2019 00:00:00,0
7/14/2019 00:00:00,0
7/15/2019 00:00:00,316
7/16/2019 00:00:00,353
7/17/2019 00:00:00,129
7/18/2019 00:00:00,102
7/19/2019 00:00:00,82
7/20/2019 00:00:00,45
7/21/2019 00:00:00,31
7/22/2019 00:00:00,44
7/23/2019 00:00:00,60
7/24/2019 00:00:00,50
7/25/2019 00:00:00,29
7/26/2019 00:00:00,33
7/27/2019 00:00:00,25
7/28/2019 00:00:00,21
7/29/2019 00:00:00,51
7/30/2019 00:00:00,39
7/31/2019 00:00:00,39
8/1/2019 00:00:00,49
8/2/2019 00:00:00,28
8/3/2019 00:00:00,17
8/4/2019 00:00:00,24
8/5/2019 00:00:00,28
8/6/2019 00:00:00,25
8/7/2019 00:00:00,17
8/8/2019 00:00:00,28
8/9/2019 00:00:00,29
8/10/2019 00:00:00,10
8/11/2019 00:00:00,13
8/12/2019 00:00:00,27
8/13/2019 00:00:00,13
8/14/2019 00:00:00,20
8/15/2019 00:00:00,21
8/16/2019 00:00:00,22
8/17/2019 00:00:00,14
8/18/2019 00:00:00,9
8/19/2019 00:00:00,21
8/20/2019 00:00:00,13
8/21/2019 00:00:00,25
8/22/2019 00:00:00,27
8/23/2019 00:00:00,16
8/24/2019 00:00:00,13
8/25/2019 00:00:00,10
8/26/2019 00:00:00,20
8/27/2019 00:00:00,26
8/28/2019 00:00:00,23
8/29/2019 00:00:00,27
8/30/2019 00:00:00,16
8/31/2019 00:00:00,19
9/1/2019 00:00:00,8
9/2/2019 00:00:00,15
9/3/2019 00:00:00,21
9/4/2019 00:00:00,16
9/5/2019 00:00:00,21
9/6/2019 00:00:00,14
9/7/2019 00:00:00,10
9/8/2019 00:00:00,8
9/9/2019 00:00:00,8
9/10/2019 00:00:00,13
9/11/2019 00:00:00,15
9/12/2019 00:00:00,14
9/13/2019 00:00:00,13
9/14/2019 00:00:00,8
9/15/2019 00:00:00,2
9/16/2019 00:00:00,17
9/17/2019 00:00:00,15
9/18/2019 00:00:00,21
9/19/2019 00:00:00,11
9/20/2019 00:00:00,25
9/21/2019 00:00:00,17
9/22/2019 00:00:00,12
9/23/2019 00:00:00,15
9/24/2019 00:00:00,18
9/25/2019 00:00:00,8
9/26/2019 00:00:00,18
9/27/2019 00:00:00,17
9/28/2019 00:00:00,8
9/29/2019 00:00:00,8
9/30/2019 00:00:00,15
10/1/2019 00:00:00,20
10/2/2019 00:00:00,23
10/3/2019 00:00:00,13
10/4/2019 00:00:00,14
10/5/2019 00:00:00,14
10/6/2019 00:00:00,13
10/7/2019 00:00:00,27
10/8/2019 00:00:00,12
10/9/2019 00:00:00,22
10/10/2019 00:00:00,13
10/11/2019 00:00:00,16
10/12/2019 00:00:00,4
10/13/2019 00:00:00,8
10/14/2019 00:00:00,10
10/15/2019 00:00:00,12
10/16/2019 00:00:00,14
10/17/2019 00:00:00,9
10/18/2019 00:00:00,16
