Time (UTC),Plays
1/14/2019 00:00:00,67
1/15/2019 00:00:00,71
1/16/2019 00:00:00,54
1/17/2019 00:00:00,31
1/18/2019 00:00:00,19
1/19/2019 00:00:00,10
1/20/2019 00:00:00,10
1/21/2019 00:00:00,21
1/22/2019 00:00:00,15
1/23/2019 00:00:00,9
1/24/2019 00:00:00,8
1/25/2019 00:00:00,8
1/26/2019 00:00:00,10
1/27/2019 00:00:00,10
1/28/2019 00:00:00,15
1/29/2019 00:00:00,12
1/30/2019 00:00:00,6
1/31/2019 00:00:00,8
2/1/2019 00:00:00,7
2/2/2019 00:00:00,4
2/3/2019 00:00:00,3
2/4/2019 00:00:00,7
2/5/2019 00:00:00,10
2/6/2019 00:00:00,3
2/7/2019 00:00:00,5
2/8/2019 00:00:00,5
2/9/2019 00:00:00,15
2/10/2019 00:00:00,5
2/11/2019 00:00:00,12
2/12/2019 00:00:00,9
2/13/2019 00:00:00,14
2/14/2019 00:00:00,7
2/15/2019 00:00:00,11
2/16/2019 00:00:00,12
2/17/2019 00:00:00,9
2/18/2019 00:00:00,8
2/19/2019 00:00:00,11
2/20/2019 00:00:00,14
2/21/2019 00:00:00,24
2/22/2019 00:00:00,6
2/23/2019 00:00:00,7
2/24/2019 00:00:00,8
2/25/2019 00:00:00,11
2/26/2019 00:00:00,9
2/27/2019 00:00:00,11
2/28/2019 00:00:00,3
3/1/2019 00:00:00,7
3/2/2019 00:00:00,6
3/3/2019 00:00:00,11
3/4/2019 00:00:00,10
3/5/2019 00:00:00,8
3/6/2019 00:00:00,15
3/7/2019 00:00:00,17
3/8/2019 00:00:00,4
3/9/2019 00:00:00,3
3/10/2019 00:00:00,6
3/11/2019 00:00:00,13
3/12/2019 00:00:00,10
3/13/2019 00:00:00,12
3/14/2019 00:00:00,26
3/15/2019 00:00:00,15
3/16/2019 00:00:00,8
3/17/2019 00:00:00,6
3/18/2019 00:00:00,12
3/19/2019 00:00:00,13
3/20/2019 00:00:00,12
3/21/2019 00:00:00,13
3/22/2019 00:00:00,5
3/23/2019 00:00:00,11
3/24/2019 00:00:00,2
3/25/2019 00:00:00,10
3/26/2019 00:00:00,15
3/27/2019 00:00:00,14
3/28/2019 00:00:00,19
3/29/2019 00:00:00,12
3/30/2019 00:00:00,6
3/31/2019 00:00:00,7
4/1/2019 00:00:00,12
4/2/2019 00:00:00,12
4/3/2019 00:00:00,16
4/4/2019 00:00:00,8
4/5/2019 00:00:00,8
4/6/2019 00:00:00,2
4/7/2019 00:00:00,7
4/8/2019 00:00:00,8
4/9/2019 00:00:00,12
4/10/2019 00:00:00,25
4/11/2019 00:00:00,8
4/12/2019 00:00:00,19
4/13/2019 00:00:00,16
4/14/2019 00:00:00,6
4/15/2019 00:00:00,20
4/16/2019 00:00:00,9
4/17/2019 00:00:00,20
4/18/2019 00:00:00,8
4/19/2019 00:00:00,3
4/20/2019 00:00:00,7
4/21/2019 00:00:00,4
4/22/2019 00:00:00,22
4/23/2019 00:00:00,23
4/24/2019 00:00:00,18
4/25/2019 00:00:00,11
4/26/2019 00:00:00,10
4/27/2019 00:00:00,7
4/28/2019 00:00:00,7
4/29/2019 00:00:00,11
4/30/2019 00:00:00,11
5/1/2019 00:00:00,9
5/2/2019 00:00:00,11
5/3/2019 00:00:00,9
5/4/2019 00:00:00,8
5/5/2019 00:00:00,8
5/6/2019 00:00:00,12
5/7/2019 00:00:00,3
5/8/2019 00:00:00,12
5/9/2019 00:00:00,10
5/10/2019 00:00:00,10
5/11/2019 00:00:00,5
5/12/2019 00:00:00,2
5/13/2019 00:00:00,6
5/14/2019 00:00:00,15
