Time (UTC),Plays
9/16/2019 00:00:00,18
9/17/2019 00:00:00,647
9/18/2019 00:00:00,222
9/19/2019 00:00:00,186
9/20/2019 00:00:00,111
9/21/2019 00:00:00,79
9/22/2019 00:00:00,55
9/23/2019 00:00:00,83
9/24/2019 00:00:00,79
9/25/2019 00:00:00,59
9/26/2019 00:00:00,59
9/27/2019 00:00:00,66
9/28/2019 00:00:00,39
9/29/2019 00:00:00,39
9/30/2019 00:00:00,48
10/1/2019 00:00:00,44
10/2/2019 00:00:00,35
10/3/2019 00:00:00,39
10/4/2019 00:00:00,32
10/5/2019 00:00:00,26
10/6/2019 00:00:00,27
10/7/2019 00:00:00,38
10/8/2019 00:00:00,28
10/9/2019 00:00:00,44
10/10/2019 00:00:00,41
10/11/2019 00:00:00,21
10/12/2019 00:00:00,26
10/13/2019 00:00:00,16
10/14/2019 00:00:00,29
10/15/2019 00:00:00,25
10/16/2019 00:00:00,26
10/17/2019 00:00:00,20
10/18/2019 00:00:00,11
10/19/2019 00:00:00,17
10/20/2019 00:00:00,16
10/21/2019 00:00:00,30
10/22/2019 00:00:00,38
10/23/2019 00:00:00,27
10/24/2019 00:00:00,29
10/25/2019 00:00:00,34
10/26/2019 00:00:00,19
10/27/2019 00:00:00,21
10/28/2019 00:00:00,24
10/29/2019 00:00:00,44
10/30/2019 00:00:00,20
10/31/2019 00:00:00,25
11/1/2019 00:00:00,13
11/2/2019 00:00:00,13
11/3/2019 00:00:00,17
11/4/2019 00:00:00,21
11/5/2019 00:00:00,34
11/6/2019 00:00:00,22
11/7/2019 00:00:00,18
11/8/2019 00:00:00,18
11/9/2019 00:00:00,17
11/10/2019 00:00:00,7
11/11/2019 00:00:00,24
11/12/2019 00:00:00,21
11/13/2019 00:00:00,9
11/14/2019 00:00:00,15
11/15/2019 00:00:00,8
11/16/2019 00:00:00,20
11/17/2019 00:00:00,7
11/18/2019 00:00:00,15
11/19/2019 00:00:00,14
11/20/2019 00:00:00,8
11/21/2019 00:00:00,25
11/22/2019 00:00:00,7
11/23/2019 00:00:00,15
11/24/2019 00:00:00,9
11/25/2019 00:00:00,18
11/26/2019 00:00:00,15
11/27/2019 00:00:00,19
11/28/2019 00:00:00,19
11/29/2019 00:00:00,12
11/30/2019 00:00:00,6
12/1/2019 00:00:00,5
12/2/2019 00:00:00,9
12/3/2019 00:00:00,16
12/4/2019 00:00:00,10
12/5/2019 00:00:00,13
12/6/2019 00:00:00,9
12/7/2019 00:00:00,13
12/8/2019 00:00:00,8
12/9/2019 00:00:00,7
12/10/2019 00:00:00,11
12/11/2019 00:00:00,14
12/12/2019 00:00:00,5
12/13/2019 00:00:00,13
