Time (UTC),Plays
11/25/2019 00:00:00,187
11/26/2019 00:00:00,604
11/27/2019 00:00:00,336
11/28/2019 00:00:00,219
11/29/2019 00:00:00,144
11/30/2019 00:00:00,90
12/1/2019 00:00:00,87
12/2/2019 00:00:00,130
12/3/2019 00:00:00,119
12/4/2019 00:00:00,112
12/5/2019 00:00:00,100
12/6/2019 00:00:00,72
12/7/2019 00:00:00,38
12/8/2019 00:00:00,36
12/9/2019 00:00:00,55
12/10/2019 00:00:00,78
12/11/2019 00:00:00,85
12/12/2019 00:00:00,44
12/13/2019 00:00:00,47
12/14/2019 00:00:00,25
12/15/2019 00:00:00,41
12/16/2019 00:00:00,60
12/17/2019 00:00:00,58
12/18/2019 00:00:00,40
12/19/2019 00:00:00,52
12/20/2019 00:00:00,30
12/21/2019 00:00:00,32
12/22/2019 00:00:00,32
12/23/2019 00:00:00,40
12/24/2019 00:00:00,29
12/25/2019 00:00:00,16
12/26/2019 00:00:00,40
12/27/2019 00:00:00,35
12/28/2019 00:00:00,22
12/29/2019 00:00:00,34
12/30/2019 00:00:00,38
12/31/2019 00:00:00,34
1/1/2020 00:00:00,16
1/2/2020 00:00:00,39
1/3/2020 00:00:00,30
1/4/2020 00:00:00,31
1/5/2020 00:00:00,30
1/6/2020 00:00:00,39
1/7/2020 00:00:00,52
1/8/2020 00:00:00,28
1/9/2020 00:00:00,34
1/10/2020 00:00:00,41
1/11/2020 00:00:00,15
1/12/2020 00:00:00,26
1/13/2020 00:00:00,35
1/14/2020 00:00:00,44
1/15/2020 00:00:00,42
1/16/2020 00:00:00,31
1/17/2020 00:00:00,39
1/18/2020 00:00:00,26
1/19/2020 00:00:00,8
1/20/2020 00:00:00,32
1/21/2020 00:00:00,24
1/22/2020 00:00:00,35
1/23/2020 00:00:00,35
1/24/2020 00:00:00,34
1/25/2020 00:00:00,16
1/26/2020 00:00:00,15
1/27/2020 00:00:00,32
1/28/2020 00:00:00,36
1/29/2020 00:00:00,34
1/30/2020 00:00:00,32
1/31/2020 00:00:00,34
2/1/2020 00:00:00,15
2/2/2020 00:00:00,23
2/3/2020 00:00:00,42
2/4/2020 00:00:00,53
2/5/2020 00:00:00,38
2/6/2020 00:00:00,44
2/7/2020 00:00:00,31
2/8/2020 00:00:00,24
2/9/2020 00:00:00,19
2/10/2020 00:00:00,28
2/11/2020 00:00:00,30
2/12/2020 00:00:00,42
2/13/2020 00:00:00,32
2/14/2020 00:00:00,20
2/15/2020 00:00:00,16
2/16/2020 00:00:00,9
2/17/2020 00:00:00,25
2/18/2020 00:00:00,38
2/19/2020 00:00:00,30
2/20/2020 00:00:00,39
2/21/2020 00:00:00,33
2/22/2020 00:00:00,23
2/23/2020 00:00:00,24
2/24/2020 00:00:00,19
2/25/2020 00:00:00,22
2/26/2020 00:00:00,22
2/27/2020 00:00:00,37
2/28/2020 00:00:00,41
2/29/2020 00:00:00,15
3/1/2020 00:00:00,15
3/2/2020 00:00:00,24
3/3/2020 00:00:00,28
3/4/2020 00:00:00,34
3/5/2020 00:00:00,41
3/6/2020 00:00:00,30
3/7/2020 00:00:00,23
3/8/2020 00:00:00,22
3/9/2020 00:00:00,27
3/10/2020 00:00:00,24
3/11/2020 00:00:00,32
3/12/2020 00:00:00,22
3/13/2020 00:00:00,21
3/14/2020 00:00:00,11
3/15/2020 00:00:00,8
3/16/2020 00:00:00,33
3/17/2020 00:00:00,11
3/18/2020 00:00:00,11
3/19/2020 00:00:00,15
3/20/2020 00:00:00,10
3/21/2020 00:00:00,10
3/22/2020 00:00:00,7
3/23/2020 00:00:00,10
3/24/2020 00:00:00,11
3/25/2020 00:00:00,18
3/26/2020 00:00:00,14
3/27/2020 00:00:00,9
3/28/2020 00:00:00,4
3/29/2020 00:00:00,15
3/30/2020 00:00:00,11
3/31/2020 00:00:00,15
4/1/2020 00:00:00,6
4/2/2020 00:00:00,15
4/3/2020 00:00:00,9
4/4/2020 00:00:00,15
4/5/2020 00:00:00,6
4/6/2020 00:00:00,17
4/7/2020 00:00:00,8
4/8/2020 00:00:00,13
4/9/2020 00:00:00,14
4/10/2020 00:00:00,9
4/11/2020 00:00:00,6
4/12/2020 00:00:00,8
4/13/2020 00:00:00,10
4/14/2020 00:00:00,13
4/15/2020 00:00:00,8
4/16/2020 00:00:00,11
4/17/2020 00:00:00,5
4/18/2020 00:00:00,9
4/19/2020 00:00:00,8
4/20/2020 00:00:00,13
4/21/2020 00:00:00,11
4/22/2020 00:00:00,8
4/23/2020 00:00:00,7
4/24/2020 00:00:00,5
4/25/2020 00:00:00,6
4/26/2020 00:00:00,2
4/27/2020 00:00:00,9
4/28/2020 00:00:00,12
4/29/2020 00:00:00,14
4/30/2020 00:00:00,12
5/1/2020 00:00:00,12
5/2/2020 00:00:00,5
5/3/2020 00:00:00,4
5/4/2020 00:00:00,9
5/5/2020 00:00:00,5
5/6/2020 00:00:00,8
5/7/2020 00:00:00,15
5/8/2020 00:00:00,10
5/9/2020 00:00:00,17
5/10/2020 00:00:00,11
5/11/2020 00:00:00,7
5/12/2020 00:00:00,16
5/13/2020 00:00:00,6
5/14/2020 00:00:00,10
5/15/2020 00:00:00,2
