Time (UTC),Plays
2/11/2019 00:00:00,92
2/12/2019 00:00:00,88
2/13/2019 00:00:00,55
2/14/2019 00:00:00,34
2/15/2019 00:00:00,32
2/16/2019 00:00:00,23
2/17/2019 00:00:00,18
2/18/2019 00:00:00,38
2/19/2019 00:00:00,22
2/20/2019 00:00:00,31
2/21/2019 00:00:00,32
2/22/2019 00:00:00,21
2/23/2019 00:00:00,10
2/24/2019 00:00:00,21
2/25/2019 00:00:00,26
2/26/2019 00:00:00,21
2/27/2019 00:00:00,10
2/28/2019 00:00:00,15
3/1/2019 00:00:00,13
3/2/2019 00:00:00,10
3/3/2019 00:00:00,10
3/4/2019 00:00:00,5
3/5/2019 00:00:00,11
3/6/2019 00:00:00,16
3/7/2019 00:00:00,21
3/8/2019 00:00:00,11
3/9/2019 00:00:00,11
3/10/2019 00:00:00,4
3/11/2019 00:00:00,14
3/12/2019 00:00:00,12
3/13/2019 00:00:00,23
3/14/2019 00:00:00,9
3/15/2019 00:00:00,18
3/16/2019 00:00:00,9
3/17/2019 00:00:00,7
3/18/2019 00:00:00,15
3/19/2019 00:00:00,9
3/20/2019 00:00:00,13
3/21/2019 00:00:00,16
3/22/2019 00:00:00,4
3/23/2019 00:00:00,15
3/24/2019 00:00:00,11
3/25/2019 00:00:00,15
3/26/2019 00:00:00,11
3/27/2019 00:00:00,7
3/28/2019 00:00:00,10
3/29/2019 00:00:00,19
3/30/2019 00:00:00,9
3/31/2019 00:00:00,7
4/1/2019 00:00:00,9
4/2/2019 00:00:00,12
4/3/2019 00:00:00,16
4/4/2019 00:00:00,9
4/5/2019 00:00:00,10
4/6/2019 00:00:00,6
4/7/2019 00:00:00,7
4/8/2019 00:00:00,6
4/9/2019 00:00:00,13
4/10/2019 00:00:00,13
4/11/2019 00:00:00,7
4/12/2019 00:00:00,12
4/13/2019 00:00:00,10
4/14/2019 00:00:00,5
4/15/2019 00:00:00,12
4/16/2019 00:00:00,16
4/17/2019 00:00:00,10
4/18/2019 00:00:00,6
4/19/2019 00:00:00,7
4/20/2019 00:00:00,8
4/21/2019 00:00:00,12
4/22/2019 00:00:00,20
4/23/2019 00:00:00,17
4/24/2019 00:00:00,11
4/25/2019 00:00:00,14
4/26/2019 00:00:00,14
4/27/2019 00:00:00,9
4/28/2019 00:00:00,4
4/29/2019 00:00:00,12
4/30/2019 00:00:00,17
5/1/2019 00:00:00,9
5/2/2019 00:00:00,9
5/3/2019 00:00:00,11
5/4/2019 00:00:00,6
5/5/2019 00:00:00,8
5/6/2019 00:00:00,4
5/7/2019 00:00:00,8
5/8/2019 00:00:00,7
5/9/2019 00:00:00,7
5/10/2019 00:00:00,8
5/11/2019 00:00:00,6
5/12/2019 00:00:00,2
5/13/2019 00:00:00,10
5/14/2019 00:00:00,13
5/15/2019 00:00:00,24
5/16/2019 00:00:00,11
5/17/2019 00:00:00,11
5/18/2019 00:00:00,6
5/19/2019 00:00:00,7
5/20/2019 00:00:00,12
5/21/2019 00:00:00,12
5/22/2019 00:00:00,8
5/23/2019 00:00:00,14
5/24/2019 00:00:00,9
5/25/2019 00:00:00,12
5/26/2019 00:00:00,31
5/27/2019 00:00:00,45
5/28/2019 00:00:00,58
5/29/2019 00:00:00,42
5/30/2019 00:00:00,54
5/31/2019 00:00:00,37
6/1/2019 00:00:00,22
6/2/2019 00:00:00,16
6/3/2019 00:00:00,21
6/4/2019 00:00:00,25
6/5/2019 00:00:00,34
6/6/2019 00:00:00,29
6/7/2019 00:00:00,34
6/8/2019 00:00:00,27
6/9/2019 00:00:00,13
6/10/2019 00:00:00,41
6/11/2019 00:00:00,27
6/12/2019 00:00:00,21
6/13/2019 00:00:00,42
6/14/2019 00:00:00,20
6/15/2019 00:00:00,19
6/16/2019 00:00:00,13
6/17/2019 00:00:00,20
6/18/2019 00:00:00,23
6/19/2019 00:00:00,21
6/20/2019 00:00:00,11
6/21/2019 00:00:00,16
6/22/2019 00:00:00,10
6/23/2019 00:00:00,9
6/24/2019 00:00:00,34
6/25/2019 00:00:00,10
6/26/2019 00:00:00,24
6/27/2019 00:00:00,19
6/28/2019 00:00:00,21
6/29/2019 00:00:00,14
6/30/2019 00:00:00,15
7/1/2019 00:00:00,19
7/2/2019 00:00:00,8
7/3/2019 00:00:00,19
7/4/2019 00:00:00,25
7/5/2019 00:00:00,19
7/6/2019 00:00:00,4
7/7/2019 00:00:00,11
7/8/2019 00:00:00,17
7/9/2019 00:00:00,14
7/10/2019 00:00:00,13
7/11/2019 00:00:00,14
7/12/2019 00:00:00,16
7/13/2019 00:00:00,8
7/14/2019 00:00:00,14
7/15/2019 00:00:00,8
7/16/2019 00:00:00,21
7/17/2019 00:00:00,10
7/18/2019 00:00:00,16
7/19/2019 00:00:00,12
7/20/2019 00:00:00,9
7/21/2019 00:00:00,7
7/22/2019 00:00:00,19
7/23/2019 00:00:00,11
7/24/2019 00:00:00,13
7/25/2019 00:00:00,15
7/26/2019 00:00:00,23
7/27/2019 00:00:00,11
7/28/2019 00:00:00,12
7/29/2019 00:00:00,15
7/30/2019 00:00:00,14
7/31/2019 00:00:00,16
8/1/2019 00:00:00,22
8/2/2019 00:00:00,13
8/3/2019 00:00:00,20
8/4/2019 00:00:00,13
8/5/2019 00:00:00,32
8/6/2019 00:00:00,35
8/7/2019 00:00:00,26
8/8/2019 00:00:00,29
8/9/2019 00:00:00,16
8/10/2019 00:00:00,9
8/11/2019 00:00:00,14
8/12/2019 00:00:00,22
8/13/2019 00:00:00,25
8/14/2019 00:00:00,27
8/15/2019 00:00:00,34
8/16/2019 00:00:00,14
8/17/2019 00:00:00,12
8/18/2019 00:00:00,12
8/19/2019 00:00:00,12
8/20/2019 00:00:00,10
8/21/2019 00:00:00,15
8/22/2019 00:00:00,37
8/23/2019 00:00:00,33
8/24/2019 00:00:00,10
8/25/2019 00:00:00,8
8/26/2019 00:00:00,27
8/27/2019 00:00:00,32
8/28/2019 00:00:00,31
8/29/2019 00:00:00,23
8/30/2019 00:00:00,18
8/31/2019 00:00:00,18
9/1/2019 00:00:00,14
9/2/2019 00:00:00,25
9/3/2019 00:00:00,24
9/4/2019 00:00:00,26
9/5/2019 00:00:00,36
9/6/2019 00:00:00,37
9/7/2019 00:00:00,19
9/8/2019 00:00:00,7
9/9/2019 00:00:00,17
9/10/2019 00:00:00,20
9/11/2019 00:00:00,27
9/12/2019 00:00:00,22
9/13/2019 00:00:00,19
9/14/2019 00:00:00,23
9/15/2019 00:00:00,10
9/16/2019 00:00:00,27
9/17/2019 00:00:00,36
9/18/2019 00:00:00,34
9/19/2019 00:00:00,19
9/20/2019 00:00:00,30
9/21/2019 00:00:00,10
9/22/2019 00:00:00,12
9/23/2019 00:00:00,25
9/24/2019 00:00:00,31
9/25/2019 00:00:00,14
9/26/2019 00:00:00,24
9/27/2019 00:00:00,23
9/28/2019 00:00:00,18
9/29/2019 00:00:00,10
9/30/2019 00:00:00,26
10/1/2019 00:00:00,11
10/2/2019 00:00:00,22
10/3/2019 00:00:00,17
10/4/2019 00:00:00,39
10/5/2019 00:00:00,13
10/6/2019 00:00:00,16
10/7/2019 00:00:00,21
10/8/2019 00:00:00,28
10/9/2019 00:00:00,32
10/10/2019 00:00:00,21
10/11/2019 00:00:00,25
10/12/2019 00:00:00,12
10/13/2019 00:00:00,5
10/14/2019 00:00:00,16
10/15/2019 00:00:00,17
10/16/2019 00:00:00,39
10/17/2019 00:00:00,36
10/18/2019 00:00:00,26
10/19/2019 00:00:00,11
10/20/2019 00:00:00,11
10/21/2019 00:00:00,21
10/22/2019 00:00:00,20
10/23/2019 00:00:00,34
10/24/2019 00:00:00,35
10/25/2019 00:00:00,23
10/26/2019 00:00:00,12
10/27/2019 00:00:00,17
10/28/2019 00:00:00,22
10/29/2019 00:00:00,33
10/30/2019 00:00:00,47
10/31/2019 00:00:00,25
11/1/2019 00:00:00,26
11/2/2019 00:00:00,12
11/3/2019 00:00:00,15
11/4/2019 00:00:00,26
11/5/2019 00:00:00,43
11/6/2019 00:00:00,24
11/7/2019 00:00:00,45
11/8/2019 00:00:00,37
11/9/2019 00:00:00,22
11/10/2019 00:00:00,15
11/11/2019 00:00:00,24
11/12/2019 00:00:00,26
11/13/2019 00:00:00,23
11/14/2019 00:00:00,35
11/15/2019 00:00:00,16
11/16/2019 00:00:00,22
11/17/2019 00:00:00,10
11/18/2019 00:00:00,16
11/19/2019 00:00:00,37
11/20/2019 00:00:00,16
11/21/2019 00:00:00,26
11/22/2019 00:00:00,27
11/23/2019 00:00:00,18
11/24/2019 00:00:00,8
11/25/2019 00:00:00,20
11/26/2019 00:00:00,23
11/27/2019 00:00:00,22
11/28/2019 00:00:00,26
11/29/2019 00:00:00,25
11/30/2019 00:00:00,10
12/1/2019 00:00:00,11
12/2/2019 00:00:00,21
12/3/2019 00:00:00,31
12/4/2019 00:00:00,37
12/5/2019 00:00:00,21
12/6/2019 00:00:00,18
12/7/2019 00:00:00,15
12/8/2019 00:00:00,10
12/9/2019 00:00:00,14
12/10/2019 00:00:00,15
12/11/2019 00:00:00,21
12/12/2019 00:00:00,19
12/13/2019 00:00:00,20
12/14/2019 00:00:00,14
12/15/2019 00:00:00,16
12/16/2019 00:00:00,12
12/17/2019 00:00:00,19
12/18/2019 00:00:00,13
12/19/2019 00:00:00,20
12/20/2019 00:00:00,20
12/21/2019 00:00:00,9
12/22/2019 00:00:00,9
12/23/2019 00:00:00,10
