Time (UTC),Plays
3/23/2020 00:00:00,149
3/24/2020 00:00:00,468
3/25/2020 00:00:00,190
3/26/2020 00:00:00,136
3/27/2020 00:00:00,113
3/28/2020 00:00:00,75
3/29/2020 00:00:00,53
3/30/2020 00:00:00,71
3/31/2020 00:00:00,58
4/1/2020 00:00:00,42
4/2/2020 00:00:00,34
4/3/2020 00:00:00,27
4/4/2020 00:00:00,27
4/5/2020 00:00:00,19
4/6/2020 00:00:00,28
4/7/2020 00:00:00,30
4/8/2020 00:00:00,28
4/9/2020 00:00:00,38
4/10/2020 00:00:00,10
4/11/2020 00:00:00,20
4/12/2020 00:00:00,9
4/13/2020 00:00:00,24
4/14/2020 00:00:00,21
4/15/2020 00:00:00,17
4/16/2020 00:00:00,14
4/17/2020 00:00:00,10
4/18/2020 00:00:00,11
4/19/2020 00:00:00,13
4/20/2020 00:00:00,9
4/21/2020 00:00:00,16
4/22/2020 00:00:00,10
4/23/2020 00:00:00,14
4/24/2020 00:00:00,8
4/25/2020 00:00:00,4
4/26/2020 00:00:00,9
4/27/2020 00:00:00,13
4/28/2020 00:00:00,19
4/29/2020 00:00:00,18
4/30/2020 00:00:00,20
5/1/2020 00:00:00,13
5/2/2020 00:00:00,6
5/3/2020 00:00:00,8
5/4/2020 00:00:00,10
5/5/2020 00:00:00,13
5/6/2020 00:00:00,13
5/7/2020 00:00:00,9
5/8/2020 00:00:00,4
5/9/2020 00:00:00,4
5/10/2020 00:00:00,7
5/11/2020 00:00:00,17
5/12/2020 00:00:00,9
5/13/2020 00:00:00,16
5/14/2020 00:00:00,11
5/15/2020 00:00:00,4
