Time (UTC),Plays
2/10/2020 00:00:00,555
2/11/2020 00:00:00,551
2/12/2020 00:00:00,378
2/13/2020 00:00:00,277
2/14/2020 00:00:00,207
2/15/2020 00:00:00,132
2/16/2020 00:00:00,124
2/17/2020 00:00:00,128
2/18/2020 00:00:00,145
2/19/2020 00:00:00,119
2/20/2020 00:00:00,91
2/21/2020 00:00:00,87
2/22/2020 00:00:00,61
2/23/2020 00:00:00,39
2/24/2020 00:00:00,31
2/25/2020 00:00:00,63
2/26/2020 00:00:00,65
2/27/2020 00:00:00,76
2/28/2020 00:00:00,83
2/29/2020 00:00:00,41
3/1/2020 00:00:00,29
3/2/2020 00:00:00,45
3/3/2020 00:00:00,42
3/4/2020 00:00:00,70
3/5/2020 00:00:00,60
3/6/2020 00:00:00,44
3/7/2020 00:00:00,25
3/8/2020 00:00:00,35
3/9/2020 00:00:00,43
3/10/2020 00:00:00,40
3/11/2020 00:00:00,35
3/12/2020 00:00:00,42
3/13/2020 00:00:00,31
3/14/2020 00:00:00,21
3/15/2020 00:00:00,19
3/16/2020 00:00:00,27
3/17/2020 00:00:00,36
3/18/2020 00:00:00,25
3/19/2020 00:00:00,13
3/20/2020 00:00:00,23
3/21/2020 00:00:00,14
3/22/2020 00:00:00,13
3/23/2020 00:00:00,11
3/24/2020 00:00:00,12
3/25/2020 00:00:00,14
3/26/2020 00:00:00,18
3/27/2020 00:00:00,18
3/28/2020 00:00:00,12
3/29/2020 00:00:00,10
3/30/2020 00:00:00,8
3/31/2020 00:00:00,24
4/1/2020 00:00:00,17
4/2/2020 00:00:00,24
4/3/2020 00:00:00,9
4/4/2020 00:00:00,15
4/5/2020 00:00:00,17
4/6/2020 00:00:00,11
4/7/2020 00:00:00,20
4/8/2020 00:00:00,25
4/9/2020 00:00:00,15
4/10/2020 00:00:00,8
4/11/2020 00:00:00,3
4/12/2020 00:00:00,2
4/13/2020 00:00:00,15
4/14/2020 00:00:00,16
4/15/2020 00:00:00,11
4/16/2020 00:00:00,6
4/17/2020 00:00:00,5
4/18/2020 00:00:00,5
4/19/2020 00:00:00,4
4/20/2020 00:00:00,14
4/21/2020 00:00:00,17
4/22/2020 00:00:00,13
4/23/2020 00:00:00,9
4/24/2020 00:00:00,11
4/25/2020 00:00:00,5
4/26/2020 00:00:00,9
4/27/2020 00:00:00,9
4/28/2020 00:00:00,18
4/29/2020 00:00:00,18
4/30/2020 00:00:00,18
5/1/2020 00:00:00,11
5/2/2020 00:00:00,5
5/3/2020 00:00:00,7
5/4/2020 00:00:00,23
5/5/2020 00:00:00,19
5/6/2020 00:00:00,6
5/7/2020 00:00:00,9
5/8/2020 00:00:00,6
5/9/2020 00:00:00,2
5/10/2020 00:00:00,9
5/11/2020 00:00:00,8
5/12/2020 00:00:00,13
5/13/2020 00:00:00,8
5/14/2020 00:00:00,20
5/15/2020 00:00:00,3
