Time (UTC),Plays
2/26/2019 00:00:00,194
2/27/2019 00:00:00,65
2/28/2019 00:00:00,46
3/1/2019 00:00:00,27
3/2/2019 00:00:00,23
3/3/2019 00:00:00,21
3/4/2019 00:00:00,18
3/5/2019 00:00:00,20
3/6/2019 00:00:00,34
3/7/2019 00:00:00,42
3/8/2019 00:00:00,27
3/9/2019 00:00:00,23
3/10/2019 00:00:00,17
3/11/2019 00:00:00,23
3/12/2019 00:00:00,17
3/13/2019 00:00:00,45
3/14/2019 00:00:00,28
3/15/2019 00:00:00,26
3/16/2019 00:00:00,14
3/17/2019 00:00:00,9
3/18/2019 00:00:00,20
3/19/2019 00:00:00,11
3/20/2019 00:00:00,18
3/21/2019 00:00:00,14
3/22/2019 00:00:00,9
3/23/2019 00:00:00,15
3/24/2019 00:00:00,12
3/25/2019 00:00:00,10
3/26/2019 00:00:00,10
3/27/2019 00:00:00,15
3/28/2019 00:00:00,17
3/29/2019 00:00:00,20
3/30/2019 00:00:00,10
3/31/2019 00:00:00,7
4/1/2019 00:00:00,14
4/2/2019 00:00:00,13
4/3/2019 00:00:00,21
4/4/2019 00:00:00,7
4/5/2019 00:00:00,13
4/6/2019 00:00:00,11
4/7/2019 00:00:00,8
4/8/2019 00:00:00,19
4/9/2019 00:00:00,13
4/10/2019 00:00:00,12
4/11/2019 00:00:00,13
4/12/2019 00:00:00,10
4/13/2019 00:00:00,8
4/14/2019 00:00:00,11
4/15/2019 00:00:00,8
4/16/2019 00:00:00,9
4/17/2019 00:00:00,16
4/18/2019 00:00:00,15
4/19/2019 00:00:00,11
4/20/2019 00:00:00,8
4/21/2019 00:00:00,5
4/22/2019 00:00:00,13
4/23/2019 00:00:00,23
4/24/2019 00:00:00,17
4/25/2019 00:00:00,11
4/26/2019 00:00:00,11
4/27/2019 00:00:00,14
4/28/2019 00:00:00,9
4/29/2019 00:00:00,13
4/30/2019 00:00:00,5
5/1/2019 00:00:00,9
5/2/2019 00:00:00,4
5/3/2019 00:00:00,10
5/4/2019 00:00:00,6
5/5/2019 00:00:00,8
5/6/2019 00:00:00,10
5/7/2019 00:00:00,6
5/8/2019 00:00:00,13
5/9/2019 00:00:00,9
5/10/2019 00:00:00,12
5/11/2019 00:00:00,6
5/12/2019 00:00:00,9
5/13/2019 00:00:00,12
5/14/2019 00:00:00,14
5/15/2019 00:00:00,10
5/16/2019 00:00:00,15
5/17/2019 00:00:00,13
5/18/2019 00:00:00,8
5/19/2019 00:00:00,4
5/20/2019 00:00:00,9
5/21/2019 00:00:00,14
5/22/2019 00:00:00,13
5/23/2019 00:00:00,13
5/24/2019 00:00:00,5
5/25/2019 00:00:00,16
5/26/2019 00:00:00,20
5/27/2019 00:00:00,34
5/28/2019 00:00:00,34
5/29/2019 00:00:00,38
5/30/2019 00:00:00,37
5/31/2019 00:00:00,20
6/1/2019 00:00:00,12
6/2/2019 00:00:00,10
6/3/2019 00:00:00,28
6/4/2019 00:00:00,24
6/5/2019 00:00:00,22
6/6/2019 00:00:00,30
6/7/2019 00:00:00,27
6/8/2019 00:00:00,13
6/9/2019 00:00:00,8
6/10/2019 00:00:00,24
6/11/2019 00:00:00,19
6/12/2019 00:00:00,15
6/13/2019 00:00:00,21
6/14/2019 00:00:00,19
6/15/2019 00:00:00,12
6/16/2019 00:00:00,11
6/17/2019 00:00:00,17
6/18/2019 00:00:00,16
6/19/2019 00:00:00,13
6/20/2019 00:00:00,7
6/21/2019 00:00:00,11
6/22/2019 00:00:00,6
6/23/2019 00:00:00,11
6/24/2019 00:00:00,20
6/25/2019 00:00:00,17
6/26/2019 00:00:00,11
6/27/2019 00:00:00,8
6/28/2019 00:00:00,16
6/29/2019 00:00:00,14
6/30/2019 00:00:00,13
7/1/2019 00:00:00,12
7/2/2019 00:00:00,8
7/3/2019 00:00:00,20
7/4/2019 00:00:00,19
7/5/2019 00:00:00,19
7/6/2019 00:00:00,7
7/7/2019 00:00:00,11
7/8/2019 00:00:00,17
7/9/2019 00:00:00,14
7/10/2019 00:00:00,20
7/11/2019 00:00:00,16
7/12/2019 00:00:00,7
7/13/2019 00:00:00,6
7/14/2019 00:00:00,9
7/15/2019 00:00:00,16
7/16/2019 00:00:00,15
7/17/2019 00:00:00,8
7/18/2019 00:00:00,7
7/19/2019 00:00:00,10
7/20/2019 00:00:00,3
7/21/2019 00:00:00,6
7/22/2019 00:00:00,13
7/23/2019 00:00:00,20
7/24/2019 00:00:00,15
7/25/2019 00:00:00,20
7/26/2019 00:00:00,6
7/27/2019 00:00:00,11
7/28/2019 00:00:00,11
7/29/2019 00:00:00,14
7/30/2019 00:00:00,9
7/31/2019 00:00:00,22
8/1/2019 00:00:00,24
8/2/2019 00:00:00,11
8/3/2019 00:00:00,8
8/4/2019 00:00:00,8
8/5/2019 00:00:00,17
8/6/2019 00:00:00,31
8/7/2019 00:00:00,12
8/8/2019 00:00:00,17
8/9/2019 00:00:00,18
8/10/2019 00:00:00,14
8/11/2019 00:00:00,6
8/12/2019 00:00:00,23
8/13/2019 00:00:00,21
8/14/2019 00:00:00,21
8/15/2019 00:00:00,14
8/16/2019 00:00:00,17
8/17/2019 00:00:00,15
8/18/2019 00:00:00,15
8/19/2019 00:00:00,25
8/20/2019 00:00:00,16
8/21/2019 00:00:00,18
8/22/2019 00:00:00,22
8/23/2019 00:00:00,26
8/24/2019 00:00:00,15
8/25/2019 00:00:00,8
8/26/2019 00:00:00,30
8/27/2019 00:00:00,28
8/28/2019 00:00:00,19
8/29/2019 00:00:00,14
8/30/2019 00:00:00,21
8/31/2019 00:00:00,16
9/1/2019 00:00:00,10
9/2/2019 00:00:00,27
9/3/2019 00:00:00,17
9/4/2019 00:00:00,22
9/5/2019 00:00:00,23
9/6/2019 00:00:00,23
9/7/2019 00:00:00,13
9/8/2019 00:00:00,13
9/9/2019 00:00:00,24
9/10/2019 00:00:00,25
9/11/2019 00:00:00,26
9/12/2019 00:00:00,18
9/13/2019 00:00:00,18
9/14/2019 00:00:00,12
9/15/2019 00:00:00,8
9/16/2019 00:00:00,21
9/17/2019 00:00:00,15
9/18/2019 00:00:00,22
9/19/2019 00:00:00,17
9/20/2019 00:00:00,28
9/21/2019 00:00:00,15
9/22/2019 00:00:00,15
9/23/2019 00:00:00,23
9/24/2019 00:00:00,24
9/25/2019 00:00:00,13
9/26/2019 00:00:00,31
9/27/2019 00:00:00,14
9/28/2019 00:00:00,12
9/29/2019 00:00:00,20
9/30/2019 00:00:00,21
10/1/2019 00:00:00,20
10/2/2019 00:00:00,17
10/3/2019 00:00:00,25
10/4/2019 00:00:00,18
10/5/2019 00:00:00,16
10/6/2019 00:00:00,13
10/7/2019 00:00:00,16
10/8/2019 00:00:00,19
10/9/2019 00:00:00,23
10/10/2019 00:00:00,22
10/11/2019 00:00:00,28
10/12/2019 00:00:00,7
10/13/2019 00:00:00,9
10/14/2019 00:00:00,11
10/15/2019 00:00:00,20
10/16/2019 00:00:00,23
10/17/2019 00:00:00,19
10/18/2019 00:00:00,16
10/19/2019 00:00:00,12
10/20/2019 00:00:00,9
10/21/2019 00:00:00,25
10/22/2019 00:00:00,24
10/23/2019 00:00:00,23
10/24/2019 00:00:00,21
10/25/2019 00:00:00,21
10/26/2019 00:00:00,11
10/27/2019 00:00:00,10
10/28/2019 00:00:00,19
10/29/2019 00:00:00,21
10/30/2019 00:00:00,34
10/31/2019 00:00:00,18
11/1/2019 00:00:00,12
11/2/2019 00:00:00,10
11/3/2019 00:00:00,14
11/4/2019 00:00:00,29
11/5/2019 00:00:00,36
11/6/2019 00:00:00,29
11/7/2019 00:00:00,39
11/8/2019 00:00:00,24
11/9/2019 00:00:00,20
11/10/2019 00:00:00,14
11/11/2019 00:00:00,16
11/12/2019 00:00:00,20
11/13/2019 00:00:00,19
11/14/2019 00:00:00,29
11/15/2019 00:00:00,9
11/16/2019 00:00:00,12
11/17/2019 00:00:00,5
11/18/2019 00:00:00,16
11/19/2019 00:00:00,16
11/20/2019 00:00:00,19
11/21/2019 00:00:00,18
11/22/2019 00:00:00,18
11/23/2019 00:00:00,19
11/24/2019 00:00:00,8
11/25/2019 00:00:00,16
11/26/2019 00:00:00,14
11/27/2019 00:00:00,19
