Time (UTC),Plays
5/13/2019 00:00:00,161
5/14/2019 00:00:00,306
5/15/2019 00:00:00,87
5/16/2019 00:00:00,62
5/17/2019 00:00:00,37
5/18/2019 00:00:00,30
5/19/2019 00:00:00,20
5/20/2019 00:00:00,30
5/21/2019 00:00:00,16
5/22/2019 00:00:00,25
5/23/2019 00:00:00,16
5/24/2019 00:00:00,14
5/25/2019 00:00:00,11
5/26/2019 00:00:00,27
5/27/2019 00:00:00,32
5/28/2019 00:00:00,39
5/29/2019 00:00:00,24
5/30/2019 00:00:00,34
5/31/2019 00:00:00,22
6/1/2019 00:00:00,16
6/2/2019 00:00:00,19
6/3/2019 00:00:00,21
6/4/2019 00:00:00,17
6/5/2019 00:00:00,28
6/6/2019 00:00:00,26
6/7/2019 00:00:00,24
6/8/2019 00:00:00,13
6/9/2019 00:00:00,7
6/10/2019 00:00:00,20
6/11/2019 00:00:00,11
6/12/2019 00:00:00,20
6/13/2019 00:00:00,16
6/14/2019 00:00:00,15
6/15/2019 00:00:00,4
6/16/2019 00:00:00,7
6/17/2019 00:00:00,16
6/18/2019 00:00:00,15
6/19/2019 00:00:00,20
6/20/2019 00:00:00,10
6/21/2019 00:00:00,14
6/22/2019 00:00:00,16
6/23/2019 00:00:00,6
6/24/2019 00:00:00,7
6/25/2019 00:00:00,14
6/26/2019 00:00:00,11
6/27/2019 00:00:00,9
6/28/2019 00:00:00,11
6/29/2019 00:00:00,13
6/30/2019 00:00:00,9
7/1/2019 00:00:00,14
7/2/2019 00:00:00,8
7/3/2019 00:00:00,16
7/4/2019 00:00:00,12
7/5/2019 00:00:00,18
7/6/2019 00:00:00,1
7/7/2019 00:00:00,4
7/8/2019 00:00:00,11
7/9/2019 00:00:00,16
7/10/2019 00:00:00,14
7/11/2019 00:00:00,15
7/12/2019 00:00:00,5
7/13/2019 00:00:00,9
7/14/2019 00:00:00,10
7/15/2019 00:00:00,5
7/16/2019 00:00:00,11
7/17/2019 00:00:00,9
7/18/2019 00:00:00,11
7/19/2019 00:00:00,17
7/20/2019 00:00:00,4
7/21/2019 00:00:00,6
7/22/2019 00:00:00,7
7/23/2019 00:00:00,8
7/24/2019 00:00:00,10
7/25/2019 00:00:00,12
7/26/2019 00:00:00,10
7/27/2019 00:00:00,7
7/28/2019 00:00:00,6
7/29/2019 00:00:00,13
7/30/2019 00:00:00,13
7/31/2019 00:00:00,12
8/1/2019 00:00:00,11
8/2/2019 00:00:00,15
8/3/2019 00:00:00,5
8/4/2019 00:00:00,3
8/5/2019 00:00:00,8
8/6/2019 00:00:00,8
8/7/2019 00:00:00,18
8/8/2019 00:00:00,11
8/9/2019 00:00:00,20
8/10/2019 00:00:00,6
8/11/2019 00:00:00,6
8/12/2019 00:00:00,11
8/13/2019 00:00:00,7
8/14/2019 00:00:00,4
8/15/2019 00:00:00,4
8/16/2019 00:00:00,12
8/17/2019 00:00:00,9
8/18/2019 00:00:00,13
8/19/2019 00:00:00,8
8/20/2019 00:00:00,16
8/21/2019 00:00:00,11
8/22/2019 00:00:00,14
8/23/2019 00:00:00,17
8/24/2019 00:00:00,8
8/25/2019 00:00:00,6
8/26/2019 00:00:00,8
8/27/2019 00:00:00,10
8/28/2019 00:00:00,13
8/29/2019 00:00:00,12
8/30/2019 00:00:00,12
8/31/2019 00:00:00,4
9/1/2019 00:00:00,4
9/2/2019 00:00:00,13
9/3/2019 00:00:00,8
9/4/2019 00:00:00,14
9/5/2019 00:00:00,8
9/6/2019 00:00:00,15
9/7/2019 00:00:00,4
9/8/2019 00:00:00,5
9/9/2019 00:00:00,11
9/10/2019 00:00:00,8
9/11/2019 00:00:00,14
9/12/2019 00:00:00,15
9/13/2019 00:00:00,7
9/14/2019 00:00:00,6
9/15/2019 00:00:00,1
9/16/2019 00:00:00,6
9/17/2019 00:00:00,12
9/18/2019 00:00:00,12
9/19/2019 00:00:00,13
9/20/2019 00:00:00,16
9/21/2019 00:00:00,8
9/22/2019 00:00:00,6
9/23/2019 00:00:00,10
9/24/2019 00:00:00,6
9/25/2019 00:00:00,8
9/26/2019 00:00:00,8
9/27/2019 00:00:00,14
9/28/2019 00:00:00,9
9/29/2019 00:00:00,6
9/30/2019 00:00:00,11
10/1/2019 00:00:00,13
10/2/2019 00:00:00,21
10/3/2019 00:00:00,6
10/4/2019 00:00:00,9
10/5/2019 00:00:00,11
10/6/2019 00:00:00,5
10/7/2019 00:00:00,19
10/8/2019 00:00:00,13
10/9/2019 00:00:00,13
10/10/2019 00:00:00,12
10/11/2019 00:00:00,11
10/12/2019 00:00:00,8
10/13/2019 00:00:00,5
10/14/2019 00:00:00,8
10/15/2019 00:00:00,8
10/16/2019 00:00:00,9
10/17/2019 00:00:00,16
10/18/2019 00:00:00,8
10/19/2019 00:00:00,4
10/20/2019 00:00:00,9
10/21/2019 00:00:00,10
10/22/2019 00:00:00,7
10/23/2019 00:00:00,21
10/24/2019 00:00:00,15
10/25/2019 00:00:00,36
10/26/2019 00:00:00,7
10/27/2019 00:00:00,8
10/28/2019 00:00:00,7
10/29/2019 00:00:00,9
10/30/2019 00:00:00,12
10/31/2019 00:00:00,12
11/1/2019 00:00:00,10
11/2/2019 00:00:00,13
11/3/2019 00:00:00,7
11/4/2019 00:00:00,11
11/5/2019 00:00:00,8
11/6/2019 00:00:00,3
11/7/2019 00:00:00,13
11/8/2019 00:00:00,7
11/9/2019 00:00:00,11
11/10/2019 00:00:00,5
11/11/2019 00:00:00,12
11/12/2019 00:00:00,14
11/13/2019 00:00:00,10
11/14/2019 00:00:00,19
11/15/2019 00:00:00,3
11/16/2019 00:00:00,7
11/17/2019 00:00:00,5
11/18/2019 00:00:00,10
11/19/2019 00:00:00,18
11/20/2019 00:00:00,7
11/21/2019 00:00:00,14
11/22/2019 00:00:00,13
11/23/2019 00:00:00,9
11/24/2019 00:00:00,8
11/25/2019 00:00:00,13
11/26/2019 00:00:00,9
11/27/2019 00:00:00,8
11/28/2019 00:00:00,7
11/29/2019 00:00:00,13
11/30/2019 00:00:00,4
12/1/2019 00:00:00,5
12/2/2019 00:00:00,5
12/3/2019 00:00:00,5
12/4/2019 00:00:00,7
12/5/2019 00:00:00,10
12/6/2019 00:00:00,8
12/7/2019 00:00:00,8
12/8/2019 00:00:00,6
12/9/2019 00:00:00,8
12/10/2019 00:00:00,8
12/11/2019 00:00:00,6
12/12/2019 00:00:00,3
12/13/2019 00:00:00,6
12/14/2019 00:00:00,6
12/15/2019 00:00:00,5
12/16/2019 00:00:00,17
12/17/2019 00:00:00,3
12/18/2019 00:00:00,9
12/19/2019 00:00:00,5
12/20/2019 00:00:00,11
12/21/2019 00:00:00,7
12/22/2019 00:00:00,6
12/23/2019 00:00:00,7
12/24/2019 00:00:00,9
12/25/2019 00:00:00,5
12/26/2019 00:00:00,4
12/27/2019 00:00:00,9
12/28/2019 00:00:00,7
12/29/2019 00:00:00,9
12/30/2019 00:00:00,44
12/31/2019 00:00:00,11
1/1/2020 00:00:00,5
1/2/2020 00:00:00,9
1/3/2020 00:00:00,5
1/4/2020 00:00:00,9
1/5/2020 00:00:00,2
1/6/2020 00:00:00,8
1/7/2020 00:00:00,8
1/8/2020 00:00:00,8
1/9/2020 00:00:00,6
1/10/2020 00:00:00,6
1/11/2020 00:00:00,2
1/12/2020 00:00:00,2
1/13/2020 00:00:00,6
1/14/2020 00:00:00,3
1/15/2020 00:00:00,11
1/16/2020 00:00:00,9
1/17/2020 00:00:00,14
1/18/2020 00:00:00,4
1/19/2020 00:00:00,7
1/20/2020 00:00:00,8
1/21/2020 00:00:00,9
1/22/2020 00:00:00,10
1/23/2020 00:00:00,6
1/24/2020 00:00:00,8
1/25/2020 00:00:00,6
1/26/2020 00:00:00,6
1/27/2020 00:00:00,9
1/28/2020 00:00:00,14
1/29/2020 00:00:00,9
1/30/2020 00:00:00,15
1/31/2020 00:00:00,7
2/1/2020 00:00:00,12
2/2/2020 00:00:00,6
2/3/2020 00:00:00,14
2/4/2020 00:00:00,7
2/5/2020 00:00:00,11
2/6/2020 00:00:00,7
2/7/2020 00:00:00,11
2/8/2020 00:00:00,9
2/9/2020 00:00:00,8
2/10/2020 00:00:00,16
2/11/2020 00:00:00,6
2/12/2020 00:00:00,9
2/13/2020 00:00:00,7
2/14/2020 00:00:00,12
2/15/2020 00:00:00,2
2/16/2020 00:00:00,4
2/17/2020 00:00:00,22
2/18/2020 00:00:00,11
2/19/2020 00:00:00,8
2/20/2020 00:00:00,9
2/21/2020 00:00:00,8
2/22/2020 00:00:00,9
2/23/2020 00:00:00,10
2/24/2020 00:00:00,5
2/25/2020 00:00:00,2
2/26/2020 00:00:00,11
2/27/2020 00:00:00,7
2/28/2020 00:00:00,4
2/29/2020 00:00:00,6
3/1/2020 00:00:00,6
3/2/2020 00:00:00,14
3/3/2020 00:00:00,24
3/4/2020 00:00:00,18
3/5/2020 00:00:00,12
3/6/2020 00:00:00,7
3/7/2020 00:00:00,7
3/8/2020 00:00:00,10
3/9/2020 00:00:00,7
3/10/2020 00:00:00,4
3/11/2020 00:00:00,4
3/12/2020 00:00:00,5
3/13/2020 00:00:00,11
3/14/2020 00:00:00,5
3/15/2020 00:00:00,8
3/16/2020 00:00:00,12
3/17/2020 00:00:00,8
3/18/2020 00:00:00,11
3/19/2020 00:00:00,4
3/20/2020 00:00:00,5
3/21/2020 00:00:00,6
3/22/2020 00:00:00,4
3/23/2020 00:00:00,5
3/24/2020 00:00:00,3
3/25/2020 00:00:00,3
3/26/2020 00:00:00,9
3/27/2020 00:00:00,7
3/28/2020 00:00:00,2
3/29/2020 00:00:00,5
3/30/2020 00:00:00,6
3/31/2020 00:00:00,7
4/1/2020 00:00:00,5
4/2/2020 00:00:00,3
4/3/2020 00:00:00,3
4/4/2020 00:00:00,2
4/5/2020 00:00:00,2
4/6/2020 00:00:00,4
4/7/2020 00:00:00,3
4/8/2020 00:00:00,7
4/9/2020 00:00:00,1
4/10/2020 00:00:00,2
4/11/2020 00:00:00,2
4/12/2020 00:00:00,4
4/13/2020 00:00:00,11
4/14/2020 00:00:00,6
4/15/2020 00:00:00,1
4/16/2020 00:00:00,5
4/17/2020 00:00:00,3
4/18/2020 00:00:00,2
4/19/2020 00:00:00,3
4/20/2020 00:00:00,5
4/21/2020 00:00:00,6
4/22/2020 00:00:00,9
4/23/2020 00:00:00,11
4/24/2020 00:00:00,11
4/25/2020 00:00:00,4
4/26/2020 00:00:00,5
4/27/2020 00:00:00,6
4/28/2020 00:00:00,1
4/29/2020 00:00:00,6
4/30/2020 00:00:00,9
5/1/2020 00:00:00,3
5/2/2020 00:00:00,7
5/3/2020 00:00:00,4
5/4/2020 00:00:00,6
5/5/2020 00:00:00,3
5/6/2020 00:00:00,13
5/7/2020 00:00:00,8
5/8/2020 00:00:00,7
5/9/2020 00:00:00,2
5/10/2020 00:00:00,9
5/11/2020 00:00:00,7
5/12/2020 00:00:00,12
5/13/2020 00:00:00,6
5/14/2020 00:00:00,8
5/15/2020 00:00:00,2
