Time (UTC),Plays
10/13/2019 00:00:00,1
10/14/2019 00:00:00,225
10/15/2019 00:00:00,537
10/16/2019 00:00:00,238
10/17/2019 00:00:00,158
10/18/2019 00:00:00,151
10/19/2019 00:00:00,96
10/20/2019 00:00:00,82
10/21/2019 00:00:00,107
10/22/2019 00:00:00,98
10/23/2019 00:00:00,108
10/24/2019 00:00:00,102
10/25/2019 00:00:00,81
10/26/2019 00:00:00,49
10/27/2019 00:00:00,49
10/28/2019 00:00:00,50
10/29/2019 00:00:00,68
10/30/2019 00:00:00,60
10/31/2019 00:00:00,47
11/1/2019 00:00:00,26
11/2/2019 00:00:00,25
11/3/2019 00:00:00,23
11/4/2019 00:00:00,31
11/5/2019 00:00:00,30
11/6/2019 00:00:00,42
11/7/2019 00:00:00,27
11/8/2019 00:00:00,20
11/9/2019 00:00:00,16
11/10/2019 00:00:00,16
11/11/2019 00:00:00,31
11/12/2019 00:00:00,24
11/13/2019 00:00:00,25
11/14/2019 00:00:00,28
11/15/2019 00:00:00,10
11/16/2019 00:00:00,15
11/17/2019 00:00:00,12
11/18/2019 00:00:00,22
11/19/2019 00:00:00,21
11/20/2019 00:00:00,9
11/21/2019 00:00:00,23
11/22/2019 00:00:00,10
11/23/2019 00:00:00,12
11/24/2019 00:00:00,13
11/25/2019 00:00:00,15
11/26/2019 00:00:00,16
11/27/2019 00:00:00,14
11/28/2019 00:00:00,13
11/29/2019 00:00:00,12
11/30/2019 00:00:00,16
12/1/2019 00:00:00,4
12/2/2019 00:00:00,8
12/3/2019 00:00:00,18
12/4/2019 00:00:00,18
12/5/2019 00:00:00,10
12/6/2019 00:00:00,20
12/7/2019 00:00:00,6
12/8/2019 00:00:00,7
12/9/2019 00:00:00,8
12/10/2019 00:00:00,11
12/11/2019 00:00:00,6
12/12/2019 00:00:00,6
12/13/2019 00:00:00,8
12/14/2019 00:00:00,7
12/15/2019 00:00:00,5
12/16/2019 00:00:00,5
12/17/2019 00:00:00,22
12/18/2019 00:00:00,8
12/19/2019 00:00:00,21
12/20/2019 00:00:00,4
12/21/2019 00:00:00,10
12/22/2019 00:00:00,7
12/23/2019 00:00:00,8
12/24/2019 00:00:00,12
12/25/2019 00:00:00,4
12/26/2019 00:00:00,11
12/27/2019 00:00:00,9
12/28/2019 00:00:00,2
12/29/2019 00:00:00,8
12/30/2019 00:00:00,13
