Time (UTC),Plays
3/9/2020 00:00:00,105
3/10/2020 00:00:00,463
3/11/2020 00:00:00,224
3/12/2020 00:00:00,135
3/13/2020 00:00:00,128
3/14/2020 00:00:00,67
3/15/2020 00:00:00,66
3/16/2020 00:00:00,82
3/17/2020 00:00:00,49
3/18/2020 00:00:00,39
3/19/2020 00:00:00,28
3/20/2020 00:00:00,27
3/21/2020 00:00:00,33
3/22/2020 00:00:00,30
3/23/2020 00:00:00,19
3/24/2020 00:00:00,14
3/25/2020 00:00:00,24
3/26/2020 00:00:00,15
3/27/2020 00:00:00,7
3/28/2020 00:00:00,9
3/29/2020 00:00:00,13
3/30/2020 00:00:00,16
3/31/2020 00:00:00,15
4/1/2020 00:00:00,16
4/2/2020 00:00:00,13
4/3/2020 00:00:00,12
4/4/2020 00:00:00,15
4/5/2020 00:00:00,9
4/6/2020 00:00:00,17
4/7/2020 00:00:00,9
4/8/2020 00:00:00,8
4/9/2020 00:00:00,16
4/10/2020 00:00:00,19
4/11/2020 00:00:00,10
4/12/2020 00:00:00,5
4/13/2020 00:00:00,8
4/14/2020 00:00:00,8
4/15/2020 00:00:00,12
4/16/2020 00:00:00,6
4/17/2020 00:00:00,10
4/18/2020 00:00:00,6
4/19/2020 00:00:00,11
4/20/2020 00:00:00,9
4/21/2020 00:00:00,15
4/22/2020 00:00:00,12
4/23/2020 00:00:00,8
4/24/2020 00:00:00,4
4/25/2020 00:00:00,5
4/26/2020 00:00:00,6
4/27/2020 00:00:00,13
4/28/2020 00:00:00,13
4/29/2020 00:00:00,8
4/30/2020 00:00:00,7
5/1/2020 00:00:00,10
5/2/2020 00:00:00,8
5/3/2020 00:00:00,5
5/4/2020 00:00:00,13
5/5/2020 00:00:00,18
5/6/2020 00:00:00,6
5/7/2020 00:00:00,9
5/8/2020 00:00:00,7
5/9/2020 00:00:00,4
5/10/2020 00:00:00,2
5/11/2020 00:00:00,6
5/12/2020 00:00:00,5
5/13/2020 00:00:00,6
5/14/2020 00:00:00,5
5/15/2020 00:00:00,4
