Time (UTC),Plays
3/25/2019 00:00:00,133
3/26/2019 00:00:00,166
3/27/2019 00:00:00,64
3/28/2019 00:00:00,63
3/29/2019 00:00:00,48
3/30/2019 00:00:00,27
3/31/2019 00:00:00,24
4/1/2019 00:00:00,18
4/2/2019 00:00:00,32
4/3/2019 00:00:00,44
4/4/2019 00:00:00,32
4/5/2019 00:00:00,24
4/6/2019 00:00:00,17
4/7/2019 00:00:00,18
4/8/2019 00:00:00,33
4/9/2019 00:00:00,22
4/10/2019 00:00:00,18
4/11/2019 00:00:00,14
4/12/2019 00:00:00,14
4/13/2019 00:00:00,10
4/14/2019 00:00:00,8
4/15/2019 00:00:00,10
4/16/2019 00:00:00,7
4/17/2019 00:00:00,14
4/18/2019 00:00:00,11
4/19/2019 00:00:00,11
4/20/2019 00:00:00,9
4/21/2019 00:00:00,15
4/22/2019 00:00:00,14
4/23/2019 00:00:00,18
4/24/2019 00:00:00,16
4/25/2019 00:00:00,13
4/26/2019 00:00:00,11
4/27/2019 00:00:00,12
4/28/2019 00:00:00,9
4/29/2019 00:00:00,15
4/30/2019 00:00:00,9
5/1/2019 00:00:00,13
5/2/2019 00:00:00,4
5/3/2019 00:00:00,7
5/4/2019 00:00:00,7
5/5/2019 00:00:00,6
5/6/2019 00:00:00,7
5/7/2019 00:00:00,8
5/8/2019 00:00:00,8
5/9/2019 00:00:00,8
5/10/2019 00:00:00,8
5/11/2019 00:00:00,5
5/12/2019 00:00:00,7
5/13/2019 00:00:00,9
5/14/2019 00:00:00,9
5/15/2019 00:00:00,10
5/16/2019 00:00:00,10
5/17/2019 00:00:00,8
5/18/2019 00:00:00,8
5/19/2019 00:00:00,4
5/20/2019 00:00:00,7
5/21/2019 00:00:00,8
5/22/2019 00:00:00,7
5/23/2019 00:00:00,8
5/24/2019 00:00:00,4
5/25/2019 00:00:00,9
5/26/2019 00:00:00,12
5/27/2019 00:00:00,23
5/28/2019 00:00:00,23
5/29/2019 00:00:00,24
5/30/2019 00:00:00,23
5/31/2019 00:00:00,10
6/1/2019 00:00:00,12
6/2/2019 00:00:00,10
6/3/2019 00:00:00,17
6/4/2019 00:00:00,8
6/5/2019 00:00:00,20
6/6/2019 00:00:00,21
6/7/2019 00:00:00,33
6/8/2019 00:00:00,14
6/9/2019 00:00:00,13
6/10/2019 00:00:00,8
6/11/2019 00:00:00,15
6/12/2019 00:00:00,7
6/13/2019 00:00:00,12
6/14/2019 00:00:00,17
6/15/2019 00:00:00,6
6/16/2019 00:00:00,3
6/17/2019 00:00:00,14
6/18/2019 00:00:00,9
6/19/2019 00:00:00,15
6/20/2019 00:00:00,6
6/21/2019 00:00:00,9
6/22/2019 00:00:00,5
6/23/2019 00:00:00,7
6/24/2019 00:00:00,14
6/25/2019 00:00:00,10
6/26/2019 00:00:00,7
6/27/2019 00:00:00,11
6/28/2019 00:00:00,10
6/29/2019 00:00:00,15
6/30/2019 00:00:00,9
7/1/2019 00:00:00,16
7/2/2019 00:00:00,7
7/3/2019 00:00:00,11
7/4/2019 00:00:00,19
7/5/2019 00:00:00,11
7/6/2019 00:00:00,4
7/7/2019 00:00:00,15
7/8/2019 00:00:00,4
7/9/2019 00:00:00,6
7/10/2019 00:00:00,10
7/11/2019 00:00:00,16
7/12/2019 00:00:00,12
7/13/2019 00:00:00,7
7/14/2019 00:00:00,4
7/15/2019 00:00:00,9
7/16/2019 00:00:00,14
7/17/2019 00:00:00,12
7/18/2019 00:00:00,11
7/19/2019 00:00:00,14
7/20/2019 00:00:00,7
7/21/2019 00:00:00,4
7/22/2019 00:00:00,7
7/23/2019 00:00:00,10
7/24/2019 00:00:00,11
7/25/2019 00:00:00,8
7/26/2019 00:00:00,10
7/27/2019 00:00:00,8
7/28/2019 00:00:00,5
7/29/2019 00:00:00,12
7/30/2019 00:00:00,9
7/31/2019 00:00:00,16
8/1/2019 00:00:00,16
8/2/2019 00:00:00,10
8/3/2019 00:00:00,10
8/4/2019 00:00:00,9
8/5/2019 00:00:00,16
8/6/2019 00:00:00,15
8/7/2019 00:00:00,9
8/8/2019 00:00:00,14
8/9/2019 00:00:00,12
8/10/2019 00:00:00,10
8/11/2019 00:00:00,4
8/12/2019 00:00:00,17
8/13/2019 00:00:00,16
8/14/2019 00:00:00,13
8/15/2019 00:00:00,16
8/16/2019 00:00:00,23
8/17/2019 00:00:00,4
8/18/2019 00:00:00,9
8/19/2019 00:00:00,9
8/20/2019 00:00:00,11
8/21/2019 00:00:00,9
8/22/2019 00:00:00,20
8/23/2019 00:00:00,16
8/24/2019 00:00:00,13
8/25/2019 00:00:00,3
8/26/2019 00:00:00,14
8/27/2019 00:00:00,16
8/28/2019 00:00:00,20
8/29/2019 00:00:00,22
8/30/2019 00:00:00,18
8/31/2019 00:00:00,8
9/1/2019 00:00:00,4
9/2/2019 00:00:00,9
9/3/2019 00:00:00,12
9/4/2019 00:00:00,12
9/5/2019 00:00:00,17
9/6/2019 00:00:00,14
9/7/2019 00:00:00,5
9/8/2019 00:00:00,5
9/9/2019 00:00:00,17
9/10/2019 00:00:00,20
9/11/2019 00:00:00,26
9/12/2019 00:00:00,11
9/13/2019 00:00:00,17
9/14/2019 00:00:00,10
9/15/2019 00:00:00,6
9/16/2019 00:00:00,17
9/17/2019 00:00:00,11
9/18/2019 00:00:00,13
9/19/2019 00:00:00,14
9/20/2019 00:00:00,11
9/21/2019 00:00:00,12
9/22/2019 00:00:00,6
9/23/2019 00:00:00,16
9/24/2019 00:00:00,16
9/25/2019 00:00:00,11
9/26/2019 00:00:00,24
9/27/2019 00:00:00,16
9/28/2019 00:00:00,10
9/29/2019 00:00:00,9
9/30/2019 00:00:00,17
10/1/2019 00:00:00,12
10/2/2019 00:00:00,8
10/3/2019 00:00:00,7
10/4/2019 00:00:00,18
10/5/2019 00:00:00,13
10/6/2019 00:00:00,9
10/7/2019 00:00:00,15
10/8/2019 00:00:00,8
10/9/2019 00:00:00,16
10/10/2019 00:00:00,12
10/11/2019 00:00:00,9
10/12/2019 00:00:00,6
10/13/2019 00:00:00,8
10/14/2019 00:00:00,6
10/15/2019 00:00:00,9
10/16/2019 00:00:00,20
10/17/2019 00:00:00,16
10/18/2019 00:00:00,16
10/19/2019 00:00:00,10
10/20/2019 00:00:00,7
10/21/2019 00:00:00,12
10/22/2019 00:00:00,12
10/23/2019 00:00:00,21
10/24/2019 00:00:00,18
10/25/2019 00:00:00,13
10/26/2019 00:00:00,11
10/27/2019 00:00:00,5
10/28/2019 00:00:00,12
10/29/2019 00:00:00,9
10/30/2019 00:00:00,15
10/31/2019 00:00:00,19
11/1/2019 00:00:00,12
11/2/2019 00:00:00,5
11/3/2019 00:00:00,10
11/4/2019 00:00:00,17
11/5/2019 00:00:00,18
11/6/2019 00:00:00,10
11/7/2019 00:00:00,16
11/8/2019 00:00:00,12
11/9/2019 00:00:00,20
11/10/2019 00:00:00,9
11/11/2019 00:00:00,22
11/12/2019 00:00:00,9
11/13/2019 00:00:00,20
11/14/2019 00:00:00,13
11/15/2019 00:00:00,10
11/16/2019 00:00:00,2
11/17/2019 00:00:00,6
11/18/2019 00:00:00,10
11/19/2019 00:00:00,12
11/20/2019 00:00:00,13
11/21/2019 00:00:00,15
11/22/2019 00:00:00,14
11/23/2019 00:00:00,7
11/24/2019 00:00:00,5
11/25/2019 00:00:00,13
11/26/2019 00:00:00,11
11/27/2019 00:00:00,14
11/28/2019 00:00:00,9
11/29/2019 00:00:00,11
11/30/2019 00:00:00,4
12/1/2019 00:00:00,2
12/2/2019 00:00:00,6
12/3/2019 00:00:00,7
12/4/2019 00:00:00,12
12/5/2019 00:00:00,7
12/6/2019 00:00:00,7
12/7/2019 00:00:00,2
12/8/2019 00:00:00,2
12/9/2019 00:00:00,6
12/10/2019 00:00:00,13
12/11/2019 00:00:00,5
12/12/2019 00:00:00,13
12/13/2019 00:00:00,6
12/14/2019 00:00:00,5
12/15/2019 00:00:00,2
12/16/2019 00:00:00,3
12/17/2019 00:00:00,4
12/18/2019 00:00:00,5
12/19/2019 00:00:00,12
12/20/2019 00:00:00,13
12/21/2019 00:00:00,8
12/22/2019 00:00:00,8
12/23/2019 00:00:00,4
12/24/2019 00:00:00,9
12/25/2019 00:00:00,3
12/26/2019 00:00:00,7
12/27/2019 00:00:00,13
12/28/2019 00:00:00,8
12/29/2019 00:00:00,2
12/30/2019 00:00:00,2
12/31/2019 00:00:00,5
1/1/2020 00:00:00,3
1/2/2020 00:00:00,7
1/3/2020 00:00:00,6
1/4/2020 00:00:00,6
1/5/2020 00:00:00,11
1/6/2020 00:00:00,11
1/7/2020 00:00:00,12
1/8/2020 00:00:00,7
1/9/2020 00:00:00,8
1/10/2020 00:00:00,5
1/11/2020 00:00:00,6
1/12/2020 00:00:00,1
1/13/2020 00:00:00,5
1/14/2020 00:00:00,11
1/15/2020 00:00:00,16
1/16/2020 00:00:00,10
1/17/2020 00:00:00,12
1/18/2020 00:00:00,7
1/19/2020 00:00:00,6
1/20/2020 00:00:00,10
1/21/2020 00:00:00,11
1/22/2020 00:00:00,8
1/23/2020 00:00:00,11
1/24/2020 00:00:00,3
1/25/2020 00:00:00,6
1/26/2020 00:00:00,6
1/27/2020 00:00:00,18
1/28/2020 00:00:00,11
1/29/2020 00:00:00,19
1/30/2020 00:00:00,11
1/31/2020 00:00:00,10
2/1/2020 00:00:00,9
2/2/2020 00:00:00,12
2/3/2020 00:00:00,7
2/4/2020 00:00:00,5
2/5/2020 00:00:00,6
2/6/2020 00:00:00,13
2/7/2020 00:00:00,17
2/8/2020 00:00:00,3
2/9/2020 00:00:00,1
2/10/2020 00:00:00,12
2/11/2020 00:00:00,4
2/12/2020 00:00:00,12
2/13/2020 00:00:00,12
2/14/2020 00:00:00,15
2/15/2020 00:00:00,11
2/16/2020 00:00:00,12
2/17/2020 00:00:00,9
2/18/2020 00:00:00,11
2/19/2020 00:00:00,15
2/20/2020 00:00:00,15
2/21/2020 00:00:00,16
2/22/2020 00:00:00,4
2/23/2020 00:00:00,9
2/24/2020 00:00:00,4
2/25/2020 00:00:00,7
2/26/2020 00:00:00,5
2/27/2020 00:00:00,13
2/28/2020 00:00:00,10
2/29/2020 00:00:00,11
3/1/2020 00:00:00,15
3/2/2020 00:00:00,27
3/3/2020 00:00:00,18
3/4/2020 00:00:00,18
3/5/2020 00:00:00,4
3/6/2020 00:00:00,8
3/7/2020 00:00:00,6
3/8/2020 00:00:00,6
3/9/2020 00:00:00,6
3/10/2020 00:00:00,7
3/11/2020 00:00:00,4
3/12/2020 00:00:00,8
3/13/2020 00:00:00,6
3/14/2020 00:00:00,6
3/15/2020 00:00:00,8
3/16/2020 00:00:00,11
3/17/2020 00:00:00,6
3/18/2020 00:00:00,14
3/19/2020 00:00:00,4
3/20/2020 00:00:00,5
3/21/2020 00:00:00,1
3/22/2020 00:00:00,6
3/23/2020 00:00:00,1
3/24/2020 00:00:00,6
3/25/2020 00:00:00,7
3/26/2020 00:00:00,12
3/27/2020 00:00:00,8
3/28/2020 00:00:00,5
3/29/2020 00:00:00,4
3/30/2020 00:00:00,4
3/31/2020 00:00:00,7
4/1/2020 00:00:00,4
4/2/2020 00:00:00,5
4/3/2020 00:00:00,7
4/4/2020 00:00:00,6
4/5/2020 00:00:00,9
4/6/2020 00:00:00,3
4/7/2020 00:00:00,9
4/8/2020 00:00:00,10
4/9/2020 00:00:00,6
4/10/2020 00:00:00,6
4/11/2020 00:00:00,4
4/12/2020 00:00:00,7
4/13/2020 00:00:00,10
4/14/2020 00:00:00,8
4/15/2020 00:00:00,5
4/16/2020 00:00:00,5
4/17/2020 00:00:00,7
4/18/2020 00:00:00,3
4/19/2020 00:00:00,7
4/20/2020 00:00:00,8
4/21/2020 00:00:00,2
4/22/2020 00:00:00,9
4/23/2020 00:00:00,10
4/24/2020 00:00:00,5
4/25/2020 00:00:00,5
4/26/2020 00:00:00,0
4/27/2020 00:00:00,4
4/28/2020 00:00:00,5
4/29/2020 00:00:00,14
4/30/2020 00:00:00,13
5/1/2020 00:00:00,4
5/2/2020 00:00:00,5
5/3/2020 00:00:00,6
5/4/2020 00:00:00,5
5/5/2020 00:00:00,13
5/6/2020 00:00:00,15
5/7/2020 00:00:00,15
5/8/2020 00:00:00,9
5/9/2020 00:00:00,7
5/10/2020 00:00:00,10
5/11/2020 00:00:00,5
5/12/2020 00:00:00,5
5/13/2020 00:00:00,6
5/14/2020 00:00:00,15
5/15/2020 00:00:00,1
