Time (UTC),Plays
10/1/2019 00:00:00,739
10/2/2019 00:00:00,307
10/3/2019 00:00:00,135
10/4/2019 00:00:00,124
10/5/2019 00:00:00,100
10/6/2019 00:00:00,74
10/7/2019 00:00:00,93
10/8/2019 00:00:00,125
10/9/2019 00:00:00,90
10/10/2019 00:00:00,102
10/11/2019 00:00:00,75
10/12/2019 00:00:00,50
10/13/2019 00:00:00,35
10/14/2019 00:00:00,71
10/15/2019 00:00:00,64
10/16/2019 00:00:00,66
10/17/2019 00:00:00,48
10/18/2019 00:00:00,53
10/19/2019 00:00:00,31
10/20/2019 00:00:00,29
10/21/2019 00:00:00,76
10/22/2019 00:00:00,75
10/23/2019 00:00:00,52
10/24/2019 00:00:00,55
10/25/2019 00:00:00,43
10/26/2019 00:00:00,34
10/27/2019 00:00:00,26
10/28/2019 00:00:00,58
10/29/2019 00:00:00,56
10/30/2019 00:00:00,30
10/31/2019 00:00:00,38
11/1/2019 00:00:00,41
11/2/2019 00:00:00,18
11/3/2019 00:00:00,28
11/4/2019 00:00:00,33
11/5/2019 00:00:00,41
11/6/2019 00:00:00,39
11/7/2019 00:00:00,30
11/8/2019 00:00:00,24
11/9/2019 00:00:00,28
11/10/2019 00:00:00,18
11/11/2019 00:00:00,29
11/12/2019 00:00:00,28
11/13/2019 00:00:00,33
11/14/2019 00:00:00,21
11/15/2019 00:00:00,19
11/16/2019 00:00:00,20
11/17/2019 00:00:00,7
11/18/2019 00:00:00,24
11/19/2019 00:00:00,26
11/20/2019 00:00:00,26
11/21/2019 00:00:00,33
11/22/2019 00:00:00,24
11/23/2019 00:00:00,18
11/24/2019 00:00:00,12
11/25/2019 00:00:00,29
11/26/2019 00:00:00,23
11/27/2019 00:00:00,17
11/28/2019 00:00:00,25
11/29/2019 00:00:00,13
11/30/2019 00:00:00,25
12/1/2019 00:00:00,9
12/2/2019 00:00:00,25
12/3/2019 00:00:00,23
12/4/2019 00:00:00,19
12/5/2019 00:00:00,19
12/6/2019 00:00:00,6
12/7/2019 00:00:00,6
12/8/2019 00:00:00,13
12/9/2019 00:00:00,21
12/10/2019 00:00:00,16
12/11/2019 00:00:00,10
12/12/2019 00:00:00,14
12/13/2019 00:00:00,11
12/14/2019 00:00:00,15
12/15/2019 00:00:00,12
12/16/2019 00:00:00,7
12/17/2019 00:00:00,32
12/18/2019 00:00:00,17
12/19/2019 00:00:00,26
12/20/2019 00:00:00,17
12/21/2019 00:00:00,11
12/22/2019 00:00:00,6
12/23/2019 00:00:00,14
12/24/2019 00:00:00,12
12/25/2019 00:00:00,5
12/26/2019 00:00:00,15
12/27/2019 00:00:00,14
12/28/2019 00:00:00,11
12/29/2019 00:00:00,12
12/30/2019 00:00:00,10
12/31/2019 00:00:00,10
1/1/2020 00:00:00,5
1/2/2020 00:00:00,18
1/3/2020 00:00:00,30
1/4/2020 00:00:00,13
1/5/2020 00:00:00,10
1/6/2020 00:00:00,21
1/7/2020 00:00:00,16
