Time (UTC),Plays
9/3/2019 00:00:00,48
9/4/2019 00:00:00,675
9/5/2019 00:00:00,213
9/6/2019 00:00:00,130
9/7/2019 00:00:00,79
9/8/2019 00:00:00,69
9/9/2019 00:00:00,70
9/10/2019 00:00:00,65
9/11/2019 00:00:00,65
9/12/2019 00:00:00,56
9/13/2019 00:00:00,45
9/14/2019 00:00:00,36
9/15/2019 00:00:00,37
9/16/2019 00:00:00,42
9/17/2019 00:00:00,47
9/18/2019 00:00:00,49
9/19/2019 00:00:00,37
9/20/2019 00:00:00,29
9/21/2019 00:00:00,25
9/22/2019 00:00:00,23
9/23/2019 00:00:00,40
9/24/2019 00:00:00,39
9/25/2019 00:00:00,31
9/26/2019 00:00:00,25
9/27/2019 00:00:00,30
9/28/2019 00:00:00,25
9/29/2019 00:00:00,31
9/30/2019 00:00:00,29
10/1/2019 00:00:00,31
10/2/2019 00:00:00,29
10/3/2019 00:00:00,31
10/4/2019 00:00:00,26
10/5/2019 00:00:00,19
10/6/2019 00:00:00,26
10/7/2019 00:00:00,32
10/8/2019 00:00:00,29
10/9/2019 00:00:00,36
10/10/2019 00:00:00,28
10/11/2019 00:00:00,23
10/12/2019 00:00:00,15
10/13/2019 00:00:00,13
10/14/2019 00:00:00,20
10/15/2019 00:00:00,17
10/16/2019 00:00:00,28
10/17/2019 00:00:00,26
10/18/2019 00:00:00,23
10/19/2019 00:00:00,8
10/20/2019 00:00:00,11
10/21/2019 00:00:00,24
10/22/2019 00:00:00,43
10/23/2019 00:00:00,37
10/24/2019 00:00:00,19
10/25/2019 00:00:00,31
10/26/2019 00:00:00,23
10/27/2019 00:00:00,24
10/28/2019 00:00:00,25
10/29/2019 00:00:00,38
10/30/2019 00:00:00,23
10/31/2019 00:00:00,20
11/1/2019 00:00:00,20
11/2/2019 00:00:00,7
11/3/2019 00:00:00,16
11/4/2019 00:00:00,37
11/5/2019 00:00:00,28
11/6/2019 00:00:00,30
11/7/2019 00:00:00,22
11/8/2019 00:00:00,20
11/9/2019 00:00:00,20
11/10/2019 00:00:00,11
11/11/2019 00:00:00,16
11/12/2019 00:00:00,18
11/13/2019 00:00:00,18
11/14/2019 00:00:00,19
11/15/2019 00:00:00,17
11/16/2019 00:00:00,15
11/17/2019 00:00:00,10
11/18/2019 00:00:00,17
11/19/2019 00:00:00,19
11/20/2019 00:00:00,21
11/21/2019 00:00:00,13
11/22/2019 00:00:00,19
11/23/2019 00:00:00,11
11/24/2019 00:00:00,6
11/25/2019 00:00:00,23
11/26/2019 00:00:00,18
11/27/2019 00:00:00,17
11/28/2019 00:00:00,16
11/29/2019 00:00:00,17
11/30/2019 00:00:00,11
12/1/2019 00:00:00,3
12/2/2019 00:00:00,9
12/3/2019 00:00:00,20
12/4/2019 00:00:00,9
12/5/2019 00:00:00,10
12/6/2019 00:00:00,13
12/7/2019 00:00:00,2
12/8/2019 00:00:00,3
12/9/2019 00:00:00,13
12/10/2019 00:00:00,14
12/11/2019 00:00:00,7
12/12/2019 00:00:00,6
12/13/2019 00:00:00,12
12/14/2019 00:00:00,8
12/15/2019 00:00:00,2
12/16/2019 00:00:00,7
12/17/2019 00:00:00,7
12/18/2019 00:00:00,13
12/19/2019 00:00:00,13
12/20/2019 00:00:00,15
12/21/2019 00:00:00,10
12/22/2019 00:00:00,6
12/23/2019 00:00:00,8
12/24/2019 00:00:00,11
12/25/2019 00:00:00,8
12/26/2019 00:00:00,9
12/27/2019 00:00:00,14
12/28/2019 00:00:00,4
12/29/2019 00:00:00,8
12/30/2019 00:00:00,11
12/31/2019 00:00:00,7
1/1/2020 00:00:00,7
1/2/2020 00:00:00,12
1/3/2020 00:00:00,12
1/4/2020 00:00:00,8
1/5/2020 00:00:00,9
1/6/2020 00:00:00,8
1/7/2020 00:00:00,17
1/8/2020 00:00:00,10
1/9/2020 00:00:00,11
1/10/2020 00:00:00,14
1/11/2020 00:00:00,5
1/12/2020 00:00:00,5
1/13/2020 00:00:00,6
1/14/2020 00:00:00,8
1/15/2020 00:00:00,9
1/16/2020 00:00:00,8
1/17/2020 00:00:00,12
1/18/2020 00:00:00,4
1/19/2020 00:00:00,9
1/20/2020 00:00:00,18
1/21/2020 00:00:00,8
1/22/2020 00:00:00,18
1/23/2020 00:00:00,18
1/24/2020 00:00:00,14
1/25/2020 00:00:00,10
1/26/2020 00:00:00,8
1/27/2020 00:00:00,16
1/28/2020 00:00:00,12
1/29/2020 00:00:00,6
1/30/2020 00:00:00,9
1/31/2020 00:00:00,12
2/1/2020 00:00:00,4
2/2/2020 00:00:00,8
2/3/2020 00:00:00,13
2/4/2020 00:00:00,10
2/5/2020 00:00:00,10
2/6/2020 00:00:00,11
2/7/2020 00:00:00,9
2/8/2020 00:00:00,8
2/9/2020 00:00:00,9
2/10/2020 00:00:00,10
2/11/2020 00:00:00,16
2/12/2020 00:00:00,11
2/13/2020 00:00:00,13
2/14/2020 00:00:00,21
2/15/2020 00:00:00,7
2/16/2020 00:00:00,8
2/17/2020 00:00:00,19
2/18/2020 00:00:00,25
2/19/2020 00:00:00,10
2/20/2020 00:00:00,13
2/21/2020 00:00:00,9
2/22/2020 00:00:00,8
2/23/2020 00:00:00,4
2/24/2020 00:00:00,6
2/25/2020 00:00:00,2
2/26/2020 00:00:00,5
2/27/2020 00:00:00,14
2/28/2020 00:00:00,12
2/29/2020 00:00:00,5
3/1/2020 00:00:00,5
3/2/2020 00:00:00,14
3/3/2020 00:00:00,23
3/4/2020 00:00:00,12
3/5/2020 00:00:00,15
3/6/2020 00:00:00,17
3/7/2020 00:00:00,11
3/8/2020 00:00:00,11
3/9/2020 00:00:00,14
3/10/2020 00:00:00,10
3/11/2020 00:00:00,10
3/12/2020 00:00:00,10
3/13/2020 00:00:00,8
3/14/2020 00:00:00,9
3/15/2020 00:00:00,5
3/16/2020 00:00:00,15
3/17/2020 00:00:00,18
3/18/2020 00:00:00,12
3/19/2020 00:00:00,9
3/20/2020 00:00:00,9
3/21/2020 00:00:00,4
3/22/2020 00:00:00,4
3/23/2020 00:00:00,8
3/24/2020 00:00:00,7
3/25/2020 00:00:00,10
3/26/2020 00:00:00,6
3/27/2020 00:00:00,5
3/28/2020 00:00:00,4
3/29/2020 00:00:00,6
3/30/2020 00:00:00,3
3/31/2020 00:00:00,7
4/1/2020 00:00:00,6
4/2/2020 00:00:00,7
4/3/2020 00:00:00,5
4/4/2020 00:00:00,3
4/5/2020 00:00:00,5
4/6/2020 00:00:00,2
4/7/2020 00:00:00,8
4/8/2020 00:00:00,6
4/9/2020 00:00:00,7
4/10/2020 00:00:00,5
4/11/2020 00:00:00,5
4/12/2020 00:00:00,4
4/13/2020 00:00:00,5
4/14/2020 00:00:00,6
4/15/2020 00:00:00,4
4/16/2020 00:00:00,11
4/17/2020 00:00:00,8
4/18/2020 00:00:00,4
4/19/2020 00:00:00,2
4/20/2020 00:00:00,4
4/21/2020 00:00:00,5
4/22/2020 00:00:00,6
4/23/2020 00:00:00,9
4/24/2020 00:00:00,4
4/25/2020 00:00:00,0
4/26/2020 00:00:00,4
4/27/2020 00:00:00,8
4/28/2020 00:00:00,2
4/29/2020 00:00:00,9
4/30/2020 00:00:00,6
5/1/2020 00:00:00,3
5/2/2020 00:00:00,4
5/3/2020 00:00:00,5
5/4/2020 00:00:00,1
5/5/2020 00:00:00,5
5/6/2020 00:00:00,7
